port,mapped_zone,n,note
Addison,A,17,AMBIGUOUS
Arrowsic,UK,1,
Bailey Island,F,17,
Bar Harbor,B,17,
Bass Harbor,B,17,
Beals,A,17,
Belfast,D,8,
Bernard,B,5,
Biddeford,UK,2,
Biddeford Pool,G,14,
Birch Harbor,A,1,
Blue Hill,C,17,
Boothbay,UK,17,
Boothbay Harbor,E,17,
Bremen,D,17,AMBIGUOUS
Bristol,UK,16,
Brooklin,UK,17,
Brooksville,UK,16,
Brunswick,UK,17,
Bucks Harbor,A,15,
Bunkers Harbor,A,1,
Camden,D,5,
Cape Elizabeth,F,15,
Cape Porpoise,G,17,
Castine,UK,6,
Chebeague Island,F,7,
Corea,A,9,
Cranberry Isles,UK,2,
Cundys Harbor,F,17,
Cushing,D,17,AMBIGUOUS
Cutler,A,17,AMBIGUOUS
Damariscotta,UK,17,
Deer Isle,UK,17,
Eastport,A,14,
Edgecomb,UK,5,
Edmunds,UK,2,
Eliot,UK,2,
Ellsworth,B,2,
Falmouth,F,14,
Five Islands,E,15,
Franklin,UK,17,
Freeport,F,17,AMBIGUOUS
Frenchboro,B,15,
Friendship,D,17,
Georgetown,UK,17,
Gouldsboro,UK,17,
Hancock,B,17,AMBIGUOUS
Harpswell,F,17,AMBIGUOUS
Harrington,UK,17,
Isle au Haut,UK,8,
Islesboro,D,10,
Jonesboro,UK,16,
Jonesport,A,17,AMBIGUOUS
Kennebunk,G,5,
Kennebunkport,G,14,
Kittery,G,17,
Lamoine,UK,17,
Lincolnville,D,5,
Little Deer Isle,C,1,
Long Island,F,1,
Lubec,UK,16,
Machias,UK,16,
Machiasport,UK,17,
Matinicus,C,4,
Milbridge,A,17,AMBIGUOUS
Monhegan,D,11,
Mount Desert,UK,10,
New Harbor,E,17,
Newcastle,UK,12,
North Haven,UK,6,
Northeast Harbor,B,13,
Ogunquit,G,17,
Other Cumberland,UK,2,
Other Hancock,UK,21,
Other Maine,UK,55,
Other Sagadahoc,E,2,AMBIGUOUS
Other Waldo,D,1,
Other Washington,UK,4,
Other York,G,4,
Owls Head,D,14,
Pemaquid,E,12,
Pembroke,UK,15,
Penobscot,UK,6,
Perry,UK,14,
Phippsburg,UK,17,
Pine Point,G,9,
Port Clyde,D,17,
Portland,UK,19,
Prospect Harbor,A,16,
Robbinston,UK,2,
Rockland,D,11,
Rockport,D,15,
Roque Bluffs,UK,17,
Round Pond,D,15,
Saco,G,15,
Scarborough,G,17,AMBIGUOUS
Seal Cove,B,1,
Seal Harbor,B,1,
Searsport,UK,1,
Sebasco,F,2,
Sedgwick,UK,16,
Sheepscot,UK,1,
Sorrento,UK,17,
South Bristol,E,17,AMBIGUOUS
South Gouldsboro,B,1,
South Thomaston,D,10,
Southport,E,13,
Southwest Harbor,B,17,
Spruce Head,D,17,
St. George,UK,17,
Steuben,A,17,AMBIGUOUS
Stockton Springs,D,5,
Stonington,C,17,
Sullivan,UK,17,
Surry,UK,16,
Swans Island,UK,17,
Tenants Harbor,D,17,
Thomaston,UK,15,
Tremont,UK,10,
Trenton,UK,17,
Trescott,UK,4,
Vinalhaven,C,17,AMBIGUOUS
Waldoboro,UK,17,
Warren,UK,1,
Wells,G,14,
West Bath,UK,17,
West Point,F,1,
Westport Island,UK,5,
Whiting,UK,15,
Winter Harbor,B,14,
Wiscasset,UK,17,
Woolwich,UK,13,
Yarmouth,UK,16,
York,G,17,
York Harbor,G,1,
