port,port_lat,port_lon
Addison,44.618822,-67.744446
Arrowsic,43.8498038,-69.7781013
Bailey Island,43.7335621,-69.9943499
Bar Harbor,44.3876378,-68.2043361
Bass Harbor,44.2400807,-68.343906
Beals,44.52001,-67.615356
Belfast,44.4261759,-69.0065207
Bernard,44.2411917,-68.3558508
Biddeford,43.4925843,-70.4533844
Biddeford Pool,43.4448868,-70.3634941
Birch Harbor,44.3893998,-68.0398259
Blue Hill,44.413027,-68.5880555
Boothbay,43.8762661,-69.6340697
Boothbay Harbor,43.8516523,-69.6280608
Bremen,44.0381183,-69.4148607
Bristol,43.9572772,-69.5091165
Brooklin,44.266137,-68.5690623
Brooksville,44.346931,-68.683777
Brunswick,43.9166529,-69.9659438
Bucks Harbor,44.6420228,-67.3883225
Bunkers Harbor,44.3695249,-68.0272263
Camden,44.210265,-69.065552
Cape Elizabeth,43.5931434,-70.2289333
Cape Porpoise,43.3726174,-70.4381081
Castine,44.3878303,-68.7966248
Chebeague Island,43.7402793,-70.1076068
Corea,44.4009135,-67.9750023
Cranberry Isles,44.248642,-68.260803
Cundys Harbor,43.8484867,-69.9124426
Cushing,44.019484,-69.23996
Cutler,44.6573652,-67.2038307
Damariscotta,44.0327531,-69.5315214
Deer Isle,44.224044,-68.677597
Eastport,44.9050394,-66.9846372
Edgecomb,43.9586733,-69.6304341
Edmunds,44.8720227,-67.1641517
Eliot,43.1081291,-70.7776375
Ellsworth,44.5414596,-68.4243599
Falmouth,43.729525,-70.241993
Five Islands,43.8239716,-69.7069898
Franklin,44.916814,-70.4395797
Freeport,43.857307,-70.10376
Frenchboro,44.1181384,-68.3625166
Friendship,43.983922,-69.33403
Georgetown,43.8004887,-69.7567485
Gouldsboro,44.4086184,-68.0262645
Hancock,44.7135397,-68.2994753
Harpswell,43.7995474,-69.9876715
Harrington,44.61931,-67.810364
Isle au Haut,44.0753601,-68.6333583
Islesboro,44.3084113,-68.9033651
Jonesboro,44.6625773,-67.5724938
Jonesport,44.533227,-67.598877
Kennebunk,43.384092,-70.545273
Kennebunkport,43.3614989,-70.4771132
Kittery,43.088448,-70.736847
Lamoine,44.5011257,-68.3470972
Lincolnville,44.2811892,-69.0086453
Little Deer Isle,44.2906343,-68.7161384
Long Island,43.6909882,-70.1653292
Lubec,44.861172,-66.983501
Machias,44.7143592,-67.4582679
Machiasport,44.698922,-67.394943
Matinicus,43.8650834,-68.8869788
Milbridge,44.5353533,-67.881173
Monhegan,43.7631886,-69.3204866
Mount Desert,44.2937483,-68.2890678
New Harbor,43.8759162,-69.4900468
Newcastle,44.034962,-69.536928
North Haven,44.127633,-68.8726719
Northeast Harbor,44.2937483,-68.2890678
Ogunquit,43.2489755,-70.5992201
Owls Head,44.0823473,-69.0571014
Pemaquid,43.9053551,-69.5071327
Pembroke,44.9536891,-67.1619293
Penobscot,45.2930166,-68.5957766
Perry,44.9728714,-67.0747653
Phippsburg,43.820638,-69.8147684
Pine Point,43.5412726,-70.344478
Port Clyde,43.9263373,-69.2585016
Portland,43.6573605,-70.2586618
Prospect Harbor,44.4085957,-68.0262521
Robbinston,45.0781324,-67.1094283
Rockland,44.1048327,-69.1091823
Rockport,44.1875192,-69.0729263
Roque Bluffs,44.6132299,-67.4800531
Round Pond,44.395635,-70.6920348
Saco,43.5007555,-70.4429451
Scarborough,43.5901655,-70.334505
Seal Cove,44.2832331,-68.3983049
Seal Harbor,44.3031358,-68.2402921
Searsport,44.4586711,-68.9253126
Sebasco,43.78175,-69.8678243
Sedgwick,44.3036899,-68.6161357
Sheepscot,44.0604629,-69.6235305
Sorrento,44.4734117,-68.1772341
South Bristol,43.8639192,-69.5588188
South Gouldsboro,44.4298014,-68.1075084
South Thomaston,44.0514702,-69.1278199
Southport,43.8232823,-69.6769636
Southwest Harbor,44.2797546,-68.3259069
Spruce Head,44.0114709,-69.1328207
St. George,44.0164709,-69.1989341
Steuben,44.5106339,-67.9652809
Stockton Springs,44.4895196,-68.8569762
Stonington,44.156593,-68.667297
Sullivan,44.5203554,-68.1966797
Surry,44.4959099,-68.5016874
Swans Island,44.1597299,-68.4205633
Tenants Harbor,43.966297,-69.2101613
Thomaston,44.0789631,-69.1831887
Tremont,44.2536915,-68.3514062
Trenton,44.439173,-68.370667
Trescott,44.7760688,-67.1132073
Vinalhaven,44.0481374,-68.8316985
Waldoboro,44.095361,-69.3757748
Warren,44.12062,-69.240646
Wells,43.3220487,-70.5807422
West Bath,43.9093996,-69.865658
West Point,43.7470286,-69.8644906
Westport Island,43.8965663,-69.7089931
Whiting,44.791094,-67.175903
Winter Harbor,44.3948755,-68.0841096
Wiscasset,44.0024834,-69.6647753
Woolwich,43.9170048,-69.8015193
Yarmouth,43.8009132,-70.187578
York,43.4229305,-70.6546639
York Harbor,43.1436575,-70.6534479
