year,species,port,county,lob_zone,weight_type,weight,value,trip_n,harv_n
2008,Bloodworms,Addison,Washington,UK,Live Pounds,18934,208982,2393,145
2008,Bloodworms,Bar Harbor,Hancock,UK,Live Pounds,1397,15277,110,31
2008,Bloodworms,Bass Harbor,Hancock,UK,Live Pounds,42,449,4,3
2008,Bloodworms,Bath,Sagadahoc,UK,Live Pounds,9408,101805,470,60
2008,Bloodworms,Beals,Washington,UK,Live Pounds,1760,18990,1166,75
2008,Bloodworms,Belfast,Waldo,UK,Live Pounds,4920,52021,202,49
2008,Bloodworms,Blue Hill,Hancock,UK,Live Pounds,1206,13215,111,26
2008,Bloodworms,Brooklin,Hancock,UK,Live Pounds,233,2501,20,13
2008,Bloodworms,Brunswick,Cumberland,UK,Live Pounds,11307,121366,574,61
2008,Bloodworms,Bucksport,Hancock,UK,Live Pounds,8248,88628,413,51
2008,Bloodworms,Calais,Washington,UK,Live Pounds,2969,32606,242,39
2008,Bloodworms,Cherryfield,Washington,UK,Live Pounds,140,1517,12,8
2008,Bloodworms,Damariscotta,Lincoln,UK,Live Pounds,2560,28004,155,51
2008,Bloodworms,Deer Isle,Hancock,UK,Live Pounds,1846,19651,148,33
2008,Bloodworms,Eastport,Washington,UK,Live Pounds,3853,41749,183,25
2008,Bloodworms,Ellsworth,Hancock,UK,Live Pounds,336,3605,28,21
2008,Bloodworms,Franklin,Hancock,UK,Live Pounds,1611,17702,115,43
2008,Bloodworms,Freeport,Cumberland,UK,Live Pounds,368,3906,18,13
2008,Bloodworms,Gouldsboro,Hancock,UK,Live Pounds,5243,55779,352,48
2008,Bloodworms,Hancock,Hancock,UK,Live Pounds,49250,536387,3982,143
2008,Bloodworms,Harrington,Washington,UK,Live Pounds,5141,57859,673,92
2008,Bloodworms,Jonesboro,Washington,UK,Live Pounds,89,1054,15,6
2008,Bloodworms,Jonesport,Washington,UK,Live Pounds,6664,73473,747,101
2008,Bloodworms,Lamoine,Hancock,UK,Live Pounds,13217,143775,986,103
2008,Bloodworms,Lubec,Washington,UK,Live Pounds,399,4289,29,11
2008,Bloodworms,Machias,Washington,UK,Live Pounds,261,2846,23,17
2008,Bloodworms,Milbridge,Washington,UK,Live Pounds,7672,87186,898,110
2008,Bloodworms,Orland,Hancock,UK,Live Pounds,106,1158,7,7
2008,Bloodworms,Other Hancock,Hancock,UK,Live Pounds,6143,67211,505,75
2008,Bloodworms,Other Lincoln,Lincoln,UK,Live Pounds,182897,2021031,11922,259
2008,Bloodworms,Other Maine,Not-Specified,UK,Live Pounds,21543,233572,1442,240
2008,Bloodworms,Other Washington,Washington,UK,Live Pounds,1503,16485,227,57
2008,Bloodworms,Portland,Cumberland,UK,Live Pounds,1075,11809,48,29
2008,Bloodworms,Rockland,Knox,UK,Live Pounds,2613,28729,146,44
2008,Bloodworms,Searsport,Waldo,UK,Live Pounds,1360,14283,71,20
2008,Bloodworms,Sorrento,Hancock,UK,Live Pounds,279,3028,53,20
2008,Bloodworms,Steuben,Washington,UK,Live Pounds,7361,80719,623,67
2008,Bloodworms,Stockton Springs,Waldo,UK,Live Pounds,162,1715,9,7
2008,Bloodworms,Stonington,Hancock,UK,Live Pounds,132,1446,7,6
2008,Bloodworms,Sullivan,Hancock,UK,Live Pounds,4608,49808,367,79
2008,Bloodworms,Trenton,Hancock,UK,Live Pounds,20147,220504,1568,109
2008,Bloodworms,Waldoboro,Lincoln,UK,Live Pounds,5839,63104,363,62
2008,Bloodworms,Westport Island,Lincoln,UK,Live Pounds,4124,44265,295,65
2008,Bloodworms,Winter Harbor,Hancock,UK,Live Pounds,553,5849,41,13
