year,species,port,county,lob_zone,weight_type,weight,value,trip_n,harv_n
2008,Clam Northern Quahog / Hard,Brunswick,Cumberland,UK,Live Pounds,13384,21467,45,12
2008,Clam Northern Quahog / Hard,Freeport,Cumberland,UK,Live Pounds,2166,1580,17,5
2008,Clam Northern Quahog / Hard,Harpswell,Cumberland,UK,Live Pounds,26026,28709,37,7
2008,Clam Northern Quahog / Hard,Other Maine,Not-Specified,UK,Live Pounds,35438,20419,103,12
2008,Clam Northern Quahog / Hard,Trenton,Hancock,UK,Live Pounds,30255,10472,60,3
2009,Clam Northern Quahog / Hard,Brunswick,Cumberland,UK,Live Pounds,196531,161344,230,29
2009,Clam Northern Quahog / Hard,Freeport,Cumberland,UK,Live Pounds,995,1032,6,5
2009,Clam Northern Quahog / Hard,Harpswell,Cumberland,UK,Live Pounds,40536,38002,40,10
2009,Clam Northern Quahog / Hard,Other Maine,Not-Specified,UK,Live Pounds,166440,78185,294,25
2009,Clam Northern Quahog / Hard,West Bath,Sagadahoc,UK,Live Pounds,276741,190177,266,34
2010,Clam Northern Quahog / Hard,Brunswick,Cumberland,UK,Live Pounds,388768,196715,1181,104
2010,Clam Northern Quahog / Hard,Harpswell,Cumberland,UK,Live Pounds,34523,31682,121,23
2010,Clam Northern Quahog / Hard,Other Maine,Not-Specified,UK,Live Pounds,242265,176303,622,70
2010,Clam Northern Quahog / Hard,West Bath,Sagadahoc,UK,Live Pounds,1147242,843792,3922,166
2011,Clam Northern Quahog / Hard,Brunswick,Cumberland,UK,Live Pounds,85826,72607,374,39
2011,Clam Northern Quahog / Hard,Harpswell,Cumberland,UK,Live Pounds,36377,32207,165,37
2011,Clam Northern Quahog / Hard,Other Maine,Not-Specified,UK,Live Pounds,96749,92610,486,39
2011,Clam Northern Quahog / Hard,West Bath,Sagadahoc,UK,Live Pounds,235154,217496,1354,90
2012,Clam Northern Quahog / Hard,Brunswick,Cumberland,UK,Live Pounds,79181,73139,393,21
2012,Clam Northern Quahog / Hard,Harpswell,Cumberland,UK,Live Pounds,5550,5283,32,14
2012,Clam Northern Quahog / Hard,Other Maine,Not-Specified,UK,Live Pounds,89375,75649,439,30
2012,Clam Northern Quahog / Hard,West Bath,Sagadahoc,UK,Live Pounds,245686,241586,1125,37
2013,Clam Northern Quahog / Hard,Brunswick,Cumberland,UK,Live Pounds,98975,101044,425,21
2013,Clam Northern Quahog / Hard,Harpswell,Cumberland,UK,Live Pounds,10544,9579,45,16
