year,species,port,county,lob_zone,weight_type,weight,value,trip_n,harv_n
2008,Clam Ocean Quahog,Jonesport,Washington,UK,Live Pounds,4350718,1712143,0,19
2008,Clam Ocean Quahog,Other Maine,Not-Specified,UK,Live Pounds,1164811,479573,0,8
2009,Clam Ocean Quahog,Addison,Washington,UK,Live Pounds,352056,115424,0,3
2009,Clam Ocean Quahog,Jonesport,Washington,UK,Live Pounds,3983770,1583147,0,17
2009,Clam Ocean Quahog,Other Maine,Not-Specified,UK,Live Pounds,280934,129921,0,4
2010,Clam Ocean Quahog,Jonesport,Washington,UK,Live Pounds,4437305,1716633,0,13
2011,Clam Ocean Quahog,Jonesport,Washington,UK,Live Pounds,5016175,2019222,0,12
2011,Clam Ocean Quahog,Other Maine,Not-Specified,UK,Live Pounds,372085,125656,0,3
2012,Clam Ocean Quahog,Jonesport,Washington,UK,Live Pounds,5775081,1744319,0,12
2013,Clam Ocean Quahog,Jonesport,Washington,UK,Live Pounds,4845781,1436750,0,11
2014,Clam Ocean Quahog,Jonesport,Washington,UK,Live Pounds,3804172,1313622,0,9
2015,Clam Ocean Quahog,Jonesport,Washington,UK,Live Pounds,3433117,1310964,0,8
2016,Clam Ocean Quahog,Jonesport,Washington,UK,Live Pounds,3028916,1298591,0,7
2017,Clam Ocean Quahog,Jonesport,Washington,UK,Live Pounds,2850532,1202528,0,6
2018,Clam Ocean Quahog,Jonesport,Washington,UK,Live Pounds,2434542,1072330,0,7
2019,Clam Ocean Quahog,Jonesport,Washington,UK,Live Pounds,1921118,894474,0,6
2020,Clam Ocean Quahog,Jonesport,Washington,UK,Live Pounds,1386835,641088,0,5
2021,Clam Ocean Quahog,Jonesport,Washington,UK,Live Pounds,1434478,687292,0,3
