year,species,port,county,lob_zone,weight_type,weight,value,trip_n,harv_n
2008,Crab Atlantic Rock,Bar Harbor,Hancock,UK,Live Pounds,26354,11221,310,16
2008,Crab Atlantic Rock,Bass Harbor,Hancock,UK,Live Pounds,74015,29084,443,54
2008,Crab Atlantic Rock,Beals,Washington,UK,Live Pounds,40300,16627,295,44
2008,Crab Atlantic Rock,Blue Hill,Hancock,UK,Live Pounds,56622,22325,333,14
2008,Crab Atlantic Rock,Brooksville,Hancock,UK,Live Pounds,92061,36427,311,5
2008,Crab Atlantic Rock,Deer Isle,Hancock,UK,Live Pounds,103533,27274,200,20
2008,Crab Atlantic Rock,Other Maine,Not-Specified,UK,Live Pounds,967684,349595,8093,335
2008,Crab Atlantic Rock,Portland,Cumberland,UK,Live Pounds,3015,1506,196,17
2008,Crab Atlantic Rock,Southwest Harbor,Hancock,UK,Live Pounds,7119,2905,63,10
2008,Crab Atlantic Rock,Stonington,Hancock,UK,Live Pounds,218552,72562,1478,86
2009,Crab Atlantic Rock,Bar Harbor,Hancock,UK,Live Pounds,30490,16756,271,21
2009,Crab Atlantic Rock,Beals,Washington,UK,Live Pounds,53085,19019,380,37
2009,Crab Atlantic Rock,Blue Hill,Hancock,UK,Live Pounds,20964,9714,318,13
2009,Crab Atlantic Rock,Brooksville,Hancock,UK,Live Pounds,154128,59199,466,4
2009,Crab Atlantic Rock,Other Maine,Not-Specified,UK,Live Pounds,782093,291251,6023,333
2009,Crab Atlantic Rock,Port Clyde,Knox,UK,Live Pounds,40106,14984,188,20
2009,Crab Atlantic Rock,Southwest Harbor,Hancock,UK,Live Pounds,16274,6386,157,33
2009,Crab Atlantic Rock,Stonington,Hancock,UK,Live Pounds,228310,71883,1617,98
2010,Crab Atlantic Rock,Addison,Washington,UK,Live Pounds,26949,8592,384,26
2010,Crab Atlantic Rock,Bar Harbor,Hancock,UK,Live Pounds,40020,19195,247,19
2010,Crab Atlantic Rock,Bass Harbor,Hancock,UK,Live Pounds,117082,55515,271,21
2010,Crab Atlantic Rock,Blue Hill,Hancock,UK,Live Pounds,38382,14997,314,15
2010,Crab Atlantic Rock,Brooksville,Hancock,UK,Live Pounds,84041,31078,309,5
2010,Crab Atlantic Rock,Deer Isle,Hancock,UK,Live Pounds,44325,13658,86,11
2010,Crab Atlantic Rock,Other Maine,Not-Specified,UK,Live Pounds,743579,216612,4780,293
2010,Crab Atlantic Rock,Owls Head,Knox,UK,Live Pounds,9261,3354,38,12
2010,Crab Atlantic Rock,Southwest Harbor,Hancock,UK,Live Pounds,5853,2801,56,7
2010,Crab Atlantic Rock,Stonington,Hancock,UK,Live Pounds,221403,74246,1645,93
2010,Crab Atlantic Rock,Tenants Harbor,Knox,UK,Live Pounds,40137,12263,215,14
2011,Crab Atlantic Rock,Bar Harbor,Hancock,UK,Live Pounds,20120,10036,187,18
2011,Crab Atlantic Rock,Beals,Washington,UK,Live Pounds,168254,58173,1365,90
2011,Crab Atlantic Rock,Blue Hill,Hancock,UK,Live Pounds,40421,19163,173,15
2011,Crab Atlantic Rock,Deer Isle,Hancock,UK,Live Pounds,28671,9695,77,11
2011,Crab Atlantic Rock,Lubec,Washington,UK,Live Pounds,70229,24986,272,15
2011,Crab Atlantic Rock,Other Maine,Not-Specified,UK,Live Pounds,655214,278076,3341,239
2011,Crab Atlantic Rock,Portland,Cumberland,UK,Live Pounds,10736,5922,515,20
2011,Crab Atlantic Rock,Stonington,Hancock,UK,Live Pounds,112482,43507,894,66
2011,Crab Atlantic Rock,Vinalhaven,Knox,UK,Live Pounds,87773,30688,1470,65
2012,Crab Atlantic Rock,Beals,Washington,UK,Live Pounds,97252,34283,977,68
2012,Crab Atlantic Rock,Blue Hill,Hancock,UK,Live Pounds,53286,23468,232,12
