year,species,port,county,lob_zone,weight_type,weight,value,trip_n,harv_n
2008,Cusk,Other Maine,Not-Specified,UK,Live Pounds,625,28119,24,12
2008,Cusk,Portland,Cumberland,UK,Live Pounds,41491,30153,614,43
2009,Cusk,Other Maine,Not-Specified,UK,Live Pounds,20910,14023,659,40
2011,Cusk,Other Maine,Not-Specified,UK,Live Pounds,2064,1857,105,12
2011,Cusk,Portland,Cumberland,UK,Live Pounds,16212,14702,311,24
2013,Cusk,Portland,Cumberland,UK,Live Pounds,23898,17137,447,21
2015,Cusk,Eliot,York,UK,Live Pounds,208,159,12,3
2015,Cusk,Portland,Cumberland,UK,Live Pounds,18048,10754,237,16
2016,Cusk,Eliot,York,UK,Live Pounds,2751,2090,63,4
2016,Cusk,Other Maine,Not-Specified,UK,Live Pounds,24394,13162,221,25
2017,Cusk,Portland,Cumberland,UK,Live Pounds,13080,6322,188,20
2020,Cusk,Other Maine,Not-Specified,UK,Live Pounds,1049,1340,13,4
2020,Cusk,Portland,Cumberland,UK,Live Pounds,1207,881,50,12
2021,Cusk,Other Maine,Not-Specified,UK,Live Pounds,1436,742,41,11
2022,Cusk,Portland,Cumberland,UK,Live Pounds,3887,2265,107,14
