year,species,port,county,lob_zone,weight_type,weight,value,trip_n,harv_n
2008,Elver,Bangor,Penobscot,UK,Live Pounds,65,14123,25,14
2008,Elver,Belfast,Waldo,UK,Live Pounds,443,101150,187,30
2008,Elver,Blue Hill,Hancock,UK,Live Pounds,6,1282,4,4
2008,Elver,Bucksport,Hancock,UK,Live Pounds,33,7241,7,6
2008,Elver,Camden,Knox,UK,Live Pounds,249,52315,161,25
2008,Elver,Ellsworth,Hancock,UK,Live Pounds,1315,273514,685,122
2008,Elver,Frankfort,Waldo,UK,Live Pounds,16,3843,16,6
2008,Elver,Gouldsboro,Hancock,UK,Live Pounds,22,4325,8,7
2008,Elver,Machias,Washington,UK,Live Pounds,67,14787,22,7
2008,Elver,Other Maine,Not-Specified,UK,Live Pounds,4365,932841,2362,340
2008,Elver,Other Maine,UK,UK,Live Pounds,1,201,1,1
2008,Elver,Steuben,Washington,UK,Live Pounds,37,7997,12,10
2008,Elver,Warren,Knox,UK,Live Pounds,332,72734,159,43
2009,Elver,Bangor,Penobscot,UK,Live Pounds,184,22045,64,39
2009,Elver,Belfast,Waldo,UK,Live Pounds,293,30579,96,16
2009,Elver,Ellsworth,Hancock,UK,Live Pounds,571,60814,354,71
2009,Elver,Frankfort,Waldo,UK,Live Pounds,26,2801,21,8
2009,Elver,Orland,Hancock,UK,Live Pounds,236,24748,63,10
2009,Elver,Other Maine,Not-Specified,UK,Live Pounds,3890,378582,1681,265
2010,Elver,Belfast,Waldo,UK,Live Pounds,140,28000,129,17
2010,Elver,Machias,Washington,UK,Live Pounds,10,2035,4,3
2010,Elver,Orland,Hancock,UK,Live Pounds,105,19274,67,13
2010,Elver,Other Maine,Not-Specified,UK,Live Pounds,2845,523750,2497,322
2010,Elver,Portland,Cumberland,UK,Live Pounds,59,11792,27,10
2011,Elver,Bangor,Penobscot,UK,Live Pounds,103,101251,98,47
2011,Elver,Bath,Sagadahoc,UK,Live Pounds,11,8706,12,6
2011,Elver,Belfast,Waldo,UK,Live Pounds,273,246856,216,38
2011,Elver,Boothbay,Lincoln,UK,Live Pounds,49,42051,88,12
2011,Elver,Bucksport,Hancock,UK,Live Pounds,37,34599,15,10
2011,Elver,Camden,Knox,UK,Live Pounds,137,93836,138,29
2011,Elver,Ellsworth,Hancock,UK,Live Pounds,767,694547,667,105
2011,Elver,Frankfort,Waldo,UK,Live Pounds,49,47080,52,13
2011,Elver,Orland,Hancock,UK,Live Pounds,245,228358,187,23
2011,Elver,Other Hancock,Hancock,UK,Live Pounds,320,278476,233,75
2011,Elver,Other Maine,Not-Specified,UK,Live Pounds,2975,2570793,1982,264
2011,Elver,Pemaquid,Lincoln,UK,Live Pounds,254,217277,238,30
2011,Elver,Phippsburg,Sagadahoc,UK,Live Pounds,32,26855,72,6
2011,Elver,Portland,Cumberland,UK,Live Pounds,1356,1374738,405,41
2011,Elver,Rockland,Knox,UK,Live Pounds,14,13112,3,3
2011,Elver,Steuben,Washington,UK,Live Pounds,42,27576,10,5
2011,Elver,Sullivan,Hancock,UK,Live Pounds,293,253834,274,36
2011,Elver,Waldoboro,Lincoln,UK,Live Pounds,1032,887720,1203,98
2011,Elver,Warren,Knox,UK,Live Pounds,396,361090,203,37
2011,Elver,Yarmouth,Cumberland,UK,Live Pounds,200,144582,70,17
2012,Elver,Bangor,Penobscot,UK,Live Pounds,1740,3624866,980,183
2012,Elver,Bath,Sagadahoc,UK,Live Pounds,100,196395,23,9
2012,Elver,Belfast,Waldo,UK,Live Pounds,423,901088,235,21
2012,Elver,Brewer,Penobscot,UK,Live Pounds,230,427080,213,92
2012,Elver,Bucksport,Hancock,UK,Live Pounds,5,8589,7,6
2012,Elver,Ellsworth,Hancock,UK,Live Pounds,1976,3877836,1389,153
2012,Elver,Frankfort,Waldo,UK,Live Pounds,116,224123,71,14
2012,Elver,Friendship,Knox,UK,Live Pounds,34,69069,30,9
2012,Elver,Gouldsboro,Hancock,UK,Live Pounds,138,281255,105,19
2012,Elver,Hampden,Penobscot,UK,Live Pounds,102,211543,69,11
2012,Elver,Machias,Washington,UK,Live Pounds,137,276296,28,19
2012,Elver,Orland,Hancock,UK,Live Pounds,509,995273,398,24
2012,Elver,Other Hancock,Hancock,UK,Live Pounds,433,840753,131,36
2012,Elver,Other Maine,Not-Specified,UK,Live Pounds,6630,11457263,3572,466
2012,Elver,Other Washington,Washington,UK,Live Pounds,390,755258,196,31
2012,Elver,Pembroke,Washington,UK,Live Pounds,353,139643,66,36
2012,Elver,Perry,Washington,UK,Live Pounds,246,84610,171,53
2012,Elver,Phippsburg,Sagadahoc,UK,Live Pounds,43,86429,77,5
2012,Elver,Portland,Cumberland,UK,Live Pounds,3497,6838212,937,90
2012,Elver,Sullivan,Hancock,UK,Live Pounds,504,991851,399,53
2012,Elver,Surry,Hancock,UK,Live Pounds,35,74215,30,12
2012,Elver,Waldoboro,Lincoln,UK,Live Pounds,3157,6438229,2470,116
2012,Elver,Warren,Knox,UK,Live Pounds,655,1297098,288,42
2012,Elver,Wiscasset,Lincoln,UK,Live Pounds,158,287646,83,8
2013,Elver,Addison,Washington,UK,Live Pounds,15,27209,20,8
2013,Elver,Bangor,Penobscot,UK,Live Pounds,2748,4816585,1559,333
2013,Elver,Bar Harbor,Hancock,UK,Live Pounds,99,177165,125,30
2013,Elver,Belfast,Waldo,UK,Live Pounds,405,747981,248,40
2013,Elver,Blue Hill,Hancock,UK,Live Pounds,64,112656,85,22
2013,Elver,Boothbay,Lincoln,UK,Live Pounds,2,4515,4,4
2013,Elver,Brewer,Penobscot,UK,Live Pounds,214,378056,196,76
2013,Elver,Brunswick,Cumberland,UK,Live Pounds,116,209057,168,15
2013,Elver,Bucksport,Hancock,UK,Live Pounds,21,33822,12,11
2013,Elver,Calais,Washington,UK,Live Pounds,399,676654,765,135
2013,Elver,Camden,Knox,UK,Live Pounds,276,530757,235,48
2013,Elver,Cherryfield,Washington,UK,Live Pounds,256,449055,41,16
2013,Elver,Dennysville,Washington,UK,Live Pounds,5,8456,17,6
2013,Elver,Ellsworth,Hancock,UK,Live Pounds,2732,4959261,2164,283
2013,Elver,Falmouth,Cumberland,UK,Live Pounds,354,657505,170,51
2013,Elver,Frankfort,Waldo,UK,Live Pounds,36,63675,37,12
2013,Elver,Franklin,Hancock,UK,Live Pounds,422,787755,436,50
2013,Elver,Gardiner,Kennebec,UK,Live Pounds,64,113161,57,29
2013,Elver,Gouldsboro,Hancock,UK,Live Pounds,175,321357,181,28
2013,Elver,Hampden,Penobscot,UK,Live Pounds,17,30391,25,19
2013,Elver,Hancock,Hancock,UK,Live Pounds,94,174183,96,19
2013,Elver,Jonesport,Washington,UK,Live Pounds,13,22727,27,16
2013,Elver,Kennebunk,York,UK,Live Pounds,317,626760,59,13
2013,Elver,Kittery,York,UK,Live Pounds,99,175719,17,5
2013,Elver,Machias,Washington,UK,Live Pounds,688,1201022,743,138
2013,Elver,Mount Desert,Hancock,UK,Live Pounds,34,65892,8,5
2013,Elver,Orland,Hancock,UK,Live Pounds,481,890009,371,58
2013,Elver,Orrington,Penobscot,UK,Live Pounds,26,45251,19,15
2013,Elver,Other Hancock,Hancock,UK,Live Pounds,53,92937,19,9
2013,Elver,Other Maine,Not-Specified,UK,Live Pounds,2327,4384036,1851,273
2013,Elver,Other Maine,UK,UK,Live Pounds,1,1955,2,2
2013,Elver,Pemaquid,Lincoln,UK,Live Pounds,298,560464,210,29
2013,Elver,Pembroke,Washington,UK,Live Pounds,101,178325,308,92
2013,Elver,Penobscot,Hancock,UK,Live Pounds,36,64449,65,27
