year,species,port,county,lob_zone,weight_type,weight,value,trip_n,harv_n
2008,Flounder Atlantic Witch (Gray Sole),Port Clyde,Knox,UK,Live Pounds,20464,41614,53,16
2008,Flounder Atlantic Witch (Gray Sole),Portland,Cumberland,UK,Live Pounds,325949,739279,960,51
2009,Flounder Atlantic Witch (Gray Sole),Other Maine,Not-Specified,UK,Live Pounds,234651,405115,983,46
2009,Flounder Atlantic Witch (Gray Sole),Port Clyde,Knox,UK,Live Pounds,47776,67420,105,12
2010,Flounder Atlantic Witch (Gray Sole),Other Maine,Not-Specified,UK,Live Pounds,114044,244483,458,34
2010,Flounder Atlantic Witch (Gray Sole),Port Clyde,Knox,UK,Live Pounds,23892,58456,67,9
2011,Flounder Atlantic Witch (Gray Sole),Portland,Cumberland,UK,Live Pounds,76965,147576,430,31
2015,Flounder Atlantic Witch (Gray Sole),Other Maine,Not-Specified,UK,Live Pounds,117525,296584,415,22
2016,Flounder Atlantic Witch (Gray Sole),Other Maine,Not-Specified,UK,Live Pounds,65153,183115,314,22
2017,Flounder Atlantic Witch (Gray Sole),Other Maine,Not-Specified,UK,Live Pounds,41495,101187,317,20
2020,Flounder Atlantic Witch (Gray Sole),Portland,Cumberland,UK,Live Pounds,71827,106582,251,20
2021,Flounder Atlantic Witch (Gray Sole),Other Maine,Not-Specified,UK,Live Pounds,47639,73197,163,20
2022,Flounder Atlantic Witch (Gray Sole),Other Maine,Not-Specified,UK,Live Pounds,4952,7273,34,5
2022,Flounder Atlantic Witch (Gray Sole),Portland,Cumberland,UK,Live Pounds,64856,83017,218,24
2023,Flounder Atlantic Witch (Gray Sole),Other Maine,Not-Specified,UK,Live Pounds,149679,157054,330,17
2023,Flounder Atlantic Witch (Gray Sole),Port Clyde,Knox,UK,Live Pounds,55740,69522,76,3
2024,Flounder Atlantic Witch (Gray Sole),Other Maine,Not-Specified,UK,Live Pounds,186398,234281,426,20
