year,species,port,county,lob_zone,weight_type,weight,value,trip_n,harv_n
2008,Hake White,Other Maine,Not-Specified,UK,Live Pounds,20153,26765,94,28
2008,Hake White,Portland,Cumberland,UK,Live Pounds,768449,707565,1513,54
2009,Hake White,Other Maine,Not-Specified,UK,Live Pounds,41561,30105,241,13
2009,Hake White,Port Clyde,Knox,UK,Live Pounds,50401,39303,117,12
2009,Hake White,Portland,Cumberland,UK,Live Pounds,683526,570434,1164,40
2010,Hake White,Other Maine,Not-Specified,UK,Live Pounds,591845,629423,616,35
2010,Hake White,Port Clyde,Knox,UK,Live Pounds,20825,20358,64,10
2011,Hake White,Portland,Cumberland,UK,Live Pounds,656734,618842,637,34
2012,Hake White,Other Maine,Not-Specified,UK,Live Pounds,1140575,1414395,1135,46
2013,Hake White,Portland,Cumberland,UK,Live Pounds,1016714,1382316,842,24
2014,Hake White,Other Maine,Not-Specified,UK,Live Pounds,49245,81809,208,9
2014,Hake White,Portland,Cumberland,UK,Live Pounds,769241,1148321,764,23
2015,Hake White,Other Maine,Not-Specified,UK,Live Pounds,627261,901101,587,23
2016,Hake White,Other Maine,Not-Specified,UK,Live Pounds,432519,766991,485,24
2017,Hake White,Other Maine,Not-Specified,UK,Live Pounds,342951,469226,531,20
2018,Hake White,Other Maine,Not-Specified,UK,Live Pounds,578908,590849,743,27
2020,Hake White,Other Maine,Not-Specified,UK,Live Pounds,21246,22791,51,6
2020,Hake White,Portland,Cumberland,UK,Live Pounds,327899,349357,355,22
2021,Hake White,Other Maine,Not-Specified,UK,Live Pounds,242625,390122,363,22
2022,Hake White,Other Maine,Not-Specified,UK,Live Pounds,24541,41303,80,6
2022,Hake White,Portland,Cumberland,UK,Live Pounds,419089,747390,528,28
2023,Hake White,Other Maine,Not-Specified,UK,Live Pounds,64236,101001,137,7
2023,Hake White,Portland,Cumberland,UK,Live Pounds,363863,515019,456,22
2024,Hake White,Other Maine,Not-Specified,UK,Live Pounds,369702,517164,574,22
