year,species,port,county,lob_zone,weight_type,weight,value,trip_n,harv_n
2008,Herring Atlantic,Other Maine,Not-Specified,UK,Live Pounds,325100,41878,19,7
2008,Herring Atlantic,Port Clyde,Knox,UK,Live Pounds,3429750,417050,90,4
2008,Herring Atlantic,Portland,Cumberland,UK,Live Pounds,17840964,2237781,419,15
2008,Herring Atlantic,Prospect Harbor,Hancock,UK,Live Pounds,919050,104549,17,4
2008,Herring Atlantic,Rockland,Knox,UK,Live Pounds,29434451,3490485,563,15
2008,Herring Atlantic,Stonington,Hancock,UK,Live Pounds,12730250,1518242,250,6
2008,Herring Atlantic,Vinalhaven,Knox,UK,Live Pounds,3051014,549183,92,6
2009,Herring Atlantic,Other Maine,Not-Specified,UK,Live Pounds,3669857,612560,120,15
2009,Herring Atlantic,Port Clyde,Knox,UK,Live Pounds,2644100,325906,58,6
2009,Herring Atlantic,Portland,Cumberland,UK,Live Pounds,26193911,3113707,537,19
2009,Herring Atlantic,Prospect,Waldo,UK,Live Pounds,600000,73988,8,4
2009,Herring Atlantic,Prospect Harbor,Hancock,UK,Live Pounds,5465960,606979,71,8
2009,Herring Atlantic,Rockland,Knox,UK,Live Pounds,20736137,2487239,297,16
2009,Herring Atlantic,Stonington,Hancock,UK,Live Pounds,5295769,629628,93,5
2010,Herring Atlantic,Other Maine,Not-Specified,UK,Live Pounds,5086975,948473,138,10
2010,Herring Atlantic,Portland,Cumberland,UK,Live Pounds,28345631,4053575,515,27
2010,Herring Atlantic,Prospect Harbor,Hancock,UK,Live Pounds,880900,136760,20,5
2010,Herring Atlantic,Rockland,Knox,UK,Live Pounds,20862021,3079317,277,14
2010,Herring Atlantic,Stonington,Hancock,UK,Live Pounds,2325250,354268,61,7
2011,Herring Atlantic,Other Maine,Not-Specified,UK,Live Pounds,9575136,1582116,223,12
2011,Herring Atlantic,Portland,Cumberland,UK,Live Pounds,49744398,7215474,970,25
2011,Herring Atlantic,Prospect Harbor,Hancock,UK,Live Pounds,1595200,237380,40,5
2011,Herring Atlantic,Rockland,Knox,UK,Live Pounds,32674687,4817500,530,14
2011,Herring Atlantic,Stonington,Hancock,UK,Live Pounds,3463600,519540,89,3
2012,Herring Atlantic,Other Maine,Not-Specified,UK,Live Pounds,13675827,2193011,227,12
2012,Herring Atlantic,Portland,Cumberland,UK,Live Pounds,47488766,7380866,858,15
2012,Herring Atlantic,Rockland,Knox,UK,Live Pounds,30340220,4752477,415,10
2012,Herring Atlantic,Winter Harbor,Hancock,UK,Live Pounds,1022720,156736,25,4
2013,Herring Atlantic,Other Maine,Not-Specified,UK,Live Pounds,10635533,1767643,179,14
2013,Herring Atlantic,Portland,Cumberland,UK,Live Pounds,51112879,7959311,912,15
2013,Herring Atlantic,Prospect Harbor,Hancock,UK,Live Pounds,3930100,622594,84,8
2013,Herring Atlantic,Rockland,Knox,UK,Live Pounds,30981595,4793044,448,12
2013,Herring Atlantic,South Portland,Cumberland,UK,Live Pounds,2198800,349432,51,4
2014,Herring Atlantic,Jonesport,Washington,UK,Live Pounds,1881786,248216,20,5
2014,Herring Atlantic,Other Maine,Not-Specified,UK,Live Pounds,3799133,661662,78,8
2014,Herring Atlantic,Portland,Cumberland,UK,Live Pounds,44788193,6876323,742,18
2014,Herring Atlantic,Prospect,Waldo,UK,Live Pounds,787823,126052,24,4
2014,Herring Atlantic,Prospect Harbor,Hancock,UK,Live Pounds,4476670,693364,101,10
2014,Herring Atlantic,Rockland,Knox,UK,Live Pounds,37252252,5972519,585,15
2014,Herring Atlantic,South Portland,Cumberland,UK,Live Pounds,1824222,289500,49,8
2014,Herring Atlantic,Stonington,Hancock,UK,Live Pounds,8458184,1304134,158,3
2014,Herring Atlantic,Winter Harbor,Hancock,UK,Live Pounds,261600,40156,7,4
2015,Herring Atlantic,Other Maine,Not-Specified,UK,Live Pounds,2786300,428890,57,8
2015,Herring Atlantic,Portland,Cumberland,UK,Live Pounds,51788936,8118059,1036,22
2015,Herring Atlantic,Prospect Harbor,Hancock,UK,Live Pounds,942300,150768,24,4
2015,Herring Atlantic,Rockland,Knox,UK,Live Pounds,27833157,4340317,330,10
