year,species,port,county,lob_zone,weight_type,weight,value,trip_n,harv_n
2008,Mackerel Atlantic,Portland,Cumberland,UK,Live Pounds,481236,73385,61,11
2009,Mackerel Atlantic,Portland,Cumberland,UK,Live Pounds,8281,5763,44,6
2010,Mackerel Atlantic,Other Maine,Not-Specified,UK,Live Pounds,23880,13720,22,5
2010,Mackerel Atlantic,Portland,Cumberland,UK,Live Pounds,330592,52320,43,8
2011,Mackerel Atlantic,Portland,Cumberland,UK,Live Pounds,197581,33133,50,11
2012,Mackerel Atlantic,Other Maine,Not-Specified,UK,Live Pounds,236,392,8,3
2012,Mackerel Atlantic,Portland,Cumberland,UK,Live Pounds,41413,13846,57,10
2013,Mackerel Atlantic,Portland,Cumberland,UK,Live Pounds,1025849,164061,100,14
2014,Mackerel Atlantic,Portland,Cumberland,UK,Live Pounds,1369517,329970,53,11
2015,Mackerel Atlantic,Portland,Cumberland,UK,Live Pounds,1122469,301023,26,8
2016,Mackerel Atlantic,Other Maine,Not-Specified,UK,Live Pounds,24926,3193,10,4
2016,Mackerel Atlantic,Portland,Cumberland,UK,Live Pounds,348012,91109,14,4
2017,Mackerel Atlantic,Portland,Cumberland,UK,Live Pounds,1373927,308592,36,6
2018,Mackerel Atlantic,Other Maine,Not-Specified,UK,Live Pounds,385936,97573,17,3
2019,Mackerel Atlantic,Portland,Cumberland,UK,Live Pounds,558772,164455,32,3
2020,Mackerel Atlantic,Portland,Cumberland,UK,Live Pounds,925433,338419,30,6
2021,Mackerel Atlantic,Portland,Cumberland,UK,Live Pounds,1204379,422139,11,3
2022,Mackerel Atlantic,Portland,Cumberland,UK,Live Pounds,254319,117227,15,3
2023,Mackerel Atlantic,Portland,Cumberland,UK,Live Pounds,275137,87494,15,4
2024,Mackerel Atlantic,Other Maine,Not-Specified,UK,Live Pounds,51103,25338,11,5
2024,Mackerel Atlantic,Portland,Cumberland,UK,Live Pounds,64200,28240,22,4
