year,species,port,county,lob_zone,weight_type,weight,value,trip_n,harv_n
2008,Menhaden Atlantic,Other Maine,Not-Specified,UK,Live Pounds,454840,46291,19,6
2008,Menhaden Atlantic,Portland,Cumberland,UK,Live Pounds,3855215,394346,99,6
2009,Menhaden Atlantic,Other Maine,Not-Specified,UK,Live Pounds,166942,21482,11,5
2016,Menhaden Atlantic,Portland,Cumberland,UK,Live Pounds,3531700,919835,44,4
2017,Menhaden Atlantic,Other Maine,Not-Specified,UK,Live Pounds,1124234,402686,169,6
2017,Menhaden Atlantic,Portland,Cumberland,UK,Live Pounds,1289200,279154,18,4
2018,Menhaden Atlantic,Boothbay Harbor,Lincoln,UK,Live Pounds,460923,138277,0,8
2018,Menhaden Atlantic,Bremen,Lincoln,UK,Live Pounds,678502,203551,0,7
2018,Menhaden Atlantic,Brunswick,Cumberland,UK,Live Pounds,7400,2220,0,3
2018,Menhaden Atlantic,Cape Porpoise,York,UK,Live Pounds,73050,21915,0,3
2018,Menhaden Atlantic,Cushing,Knox,UK,Live Pounds,36950,11085,0,5
2018,Menhaden Atlantic,Edgecomb,Lincoln,UK,Live Pounds,14430,4329,0,3
2018,Menhaden Atlantic,Friendship,Knox,UK,Live Pounds,2136445,640934,125,12
2018,Menhaden Atlantic,Harpswell,Cumberland,UK,Live Pounds,2917710,875313,0,19
2018,Menhaden Atlantic,New Harbor,Lincoln,UK,Live Pounds,269380,80814,0,6
2018,Menhaden Atlantic,Other Maine,Not-Specified,UK,Live Pounds,1743478,523043,37,41
2018,Menhaden Atlantic,Phippsburg,Sagadahoc,UK,Live Pounds,518883,155665,0,15
2018,Menhaden Atlantic,Port Clyde,Knox,UK,Live Pounds,205740,61722,1,8
2018,Menhaden Atlantic,Portland,Cumberland,UK,Live Pounds,3580620,1074186,56,12
2018,Menhaden Atlantic,Scarborough,Cumberland,UK,Live Pounds,1137600,341280,0,3
2018,Menhaden Atlantic,Sebasco,Sagadahoc,UK,Live Pounds,89140,26742,0,4
2018,Menhaden Atlantic,South Bristol,Lincoln,UK,Live Pounds,537290,161187,35,6
2018,Menhaden Atlantic,Spruce Head,Knox,UK,Live Pounds,5600,1680,0,3
2018,Menhaden Atlantic,St. George,Knox,UK,Live Pounds,9040,2712,0,3
2018,Menhaden Atlantic,Stonington,Hancock,UK,Live Pounds,89435,26831,0,7
2018,Menhaden Atlantic,Tenants Harbor,Knox,UK,Live Pounds,32160,9648,9,3
2018,Menhaden Atlantic,Vinalhaven,Knox,UK,Live Pounds,141030,42309,0,4
2018,Menhaden Atlantic,West Point,Sagadahoc,UK,Live Pounds,122610,36783,0,3
2018,Menhaden Atlantic,Yarmouth,Cumberland,UK,Live Pounds,11225,3368,0,5
2019,Menhaden Atlantic,Bailey Island,Cumberland,UK,Live Pounds,264017,71549,1,6
2019,Menhaden Atlantic,Bass Harbor,Hancock,UK,Live Pounds,736600,199619,28,5
2019,Menhaden Atlantic,Blue Hill,Hancock,UK,Live Pounds,615,167,0,3
2019,Menhaden Atlantic,Boothbay,Lincoln,UK,Live Pounds,884460,239689,0,5
2019,Menhaden Atlantic,Boothbay Harbor,Lincoln,UK,Live Pounds,803745,217815,0,14
2019,Menhaden Atlantic,Bremen,Lincoln,UK,Live Pounds,685467,185762,0,11
2019,Menhaden Atlantic,Cape Porpoise,York,UK,Live Pounds,186795,50621,0,4
2019,Menhaden Atlantic,Cliff Island,Cumberland,UK,Live Pounds,4865,1318,0,4
2019,Menhaden Atlantic,Cundys Harbor,Cumberland,UK,Live Pounds,509296,138019,0,9
2019,Menhaden Atlantic,Cushing,Knox,UK,Live Pounds,361159,97874,1,11
2019,Menhaden Atlantic,Deer Isle,Hancock,UK,Live Pounds,21355,5787,0,9
2019,Menhaden Atlantic,Edgecomb,Lincoln,UK,Live Pounds,36100,9783,0,3
2019,Menhaden Atlantic,Freeport,Cumberland,UK,Live Pounds,355005,96206,0,3
2019,Menhaden Atlantic,Friendship,Knox,UK,Live Pounds,2315353,627461,175,16
2019,Menhaden Atlantic,Harpswell,Cumberland,UK,Live Pounds,3166690,858173,0,28
2019,Menhaden Atlantic,Kittery,York,UK,Live Pounds,17080,4629,0,3
2019,Menhaden Atlantic,Lamoine,Hancock,UK,Live Pounds,27900,7561,0,3
2019,Menhaden Atlantic,Long Island,Cumberland,UK,Live Pounds,46944,12722,0,6
2019,Menhaden Atlantic,Milbridge,Washington,UK,Live Pounds,31830,8626,0,8
2019,Menhaden Atlantic,New Harbor,Lincoln,UK,Live Pounds,509270,138012,0,10
2019,Menhaden Atlantic,North Haven,Knox,UK,Live Pounds,77920,21116,0,4
2019,Menhaden Atlantic,Owls Head,Knox,UK,Live Pounds,143400,38861,0,3
2019,Menhaden Atlantic,Phippsburg,Sagadahoc,UK,Live Pounds,467484,126688,0,14
2019,Menhaden Atlantic,Port Clyde,Knox,UK,Live Pounds,337709,91519,2,12
2019,Menhaden Atlantic,Portland,Cumberland,UK,Live Pounds,6374160,1727397,119,28
2019,Menhaden Atlantic,Rockland,Knox,UK,Live Pounds,506085,137149,3,6
2019,Menhaden Atlantic,Round Pond,Lincoln,UK,Live Pounds,425750,115378,0,3
2019,Menhaden Atlantic,Scarborough,Cumberland,UK,Live Pounds,912600,247315,1,4
2019,Menhaden Atlantic,Sebasco,Sagadahoc,UK,Live Pounds,221301,59973,14,8
2019,Menhaden Atlantic,Small Point,Sagadahoc,UK,Live Pounds,99718,27023,0,3
2019,Menhaden Atlantic,Sorrento,Hancock,UK,Live Pounds,431200,116855,62,3
2019,Menhaden Atlantic,South Bristol,Lincoln,UK,Live Pounds,1070568,290124,50,8
2019,Menhaden Atlantic,Spruce Head,Knox,UK,Live Pounds,505075,136875,34,8
2019,Menhaden Atlantic,St. George,Knox,UK,Live Pounds,41750,11314,6,3
2019,Menhaden Atlantic,Steuben,Washington,UK,Live Pounds,74570,20208,0,3
2019,Menhaden Atlantic,Stonington,Hancock,UK,Live Pounds,501390,135877,2,19
2019,Menhaden Atlantic,Tenants Harbor,Knox,UK,Live Pounds,195967,53107,14,6
2019,Menhaden Atlantic,Vinalhaven,Knox,UK,Live Pounds,748700,202898,0,14
2019,Menhaden Atlantic,Waldoboro,Lincoln,UK,Live Pounds,3920,1062,0,3
2019,Menhaden Atlantic,West Point,Sagadahoc,UK,Live Pounds,113920,30872,0,3
2019,Menhaden Atlantic,Yarmouth,Cumberland,UK,Live Pounds,17296,4687,0,5
2020,Menhaden Atlantic,Addison,Washington,UK,Live Pounds,10500,2762,0,4
2020,Menhaden Atlantic,Bailey Island,Cumberland,UK,Live Pounds,798785,210080,0,7
2020,Menhaden Atlantic,Blue Hill,Hancock,UK,Live Pounds,75540,19867,0,6
2020,Menhaden Atlantic,Boothbay,Lincoln,UK,Live Pounds,28125,7397,0,5
2020,Menhaden Atlantic,Boothbay Harbor,Lincoln,UK,Live Pounds,1754898,461538,0,17
2020,Menhaden Atlantic,Bremen,Lincoln,UK,Live Pounds,816990,214868,0,11
2020,Menhaden Atlantic,Cape Porpoise,York,UK,Live Pounds,174077,45782,0,4
