year,species,port,county,lob_zone,weight_type,weight,value,trip_n,harv_n
2008,Monkfish,Other Maine,Not-Specified,UK,Live Pounds,4422,4936,20,8
2008,Monkfish,Port Clyde,Knox,UK,Live Pounds,53412,53995,71,24
2008,Monkfish,Portland,Cumberland,UK,Live Pounds,1120074,1409608,1568,54
2009,Monkfish,Other Maine,Not-Specified,UK,Live Pounds,11214,10765,227,15
2009,Monkfish,Port Clyde,Knox,UK,Live Pounds,80267,59468,104,13
2009,Monkfish,Portland,Cumberland,UK,Live Pounds,511736,454539,1217,42
2010,Monkfish,Other Maine,Not-Specified,UK,Live Pounds,339798,329306,688,36
2010,Monkfish,Port Clyde,Knox,UK,Live Pounds,64357,63791,70,9
2011,Monkfish,Portland,Cumberland,UK,Live Pounds,367046,399329,622,35
2012,Monkfish,Other Maine,Not-Specified,UK,Live Pounds,1075116,1047317,1201,46
2013,Monkfish,Other Maine,Not-Specified,UK,Live Pounds,874262,726155,1178,32
2014,Monkfish,Portland,Cumberland,UK,Live Pounds,591499,522703,817,22
2015,Monkfish,Other Maine,Not-Specified,UK,Live Pounds,38568,31733,85,6
2015,Monkfish,Portland,Cumberland,UK,Live Pounds,701536,580715,589,19
2016,Monkfish,Portland,Cumberland,UK,Live Pounds,511400,429470,528,24
2017,Monkfish,Other Maine,Not-Specified,UK,Live Pounds,72381,51576,101,5
2017,Monkfish,Portland,Cumberland,UK,Live Pounds,810306,571544,527,21
2018,Monkfish,Other Maine,Not-Specified,UK,Live Pounds,1149594,674282,804,29
2020,Monkfish,Portland,Cumberland,UK,Live Pounds,708691,295617,391,23
2021,Monkfish,Other Maine,Not-Specified,UK,Live Pounds,450600,318368,110,6
2021,Monkfish,Portland,Cumberland,UK,Live Pounds,574835,387988,335,25
2022,Monkfish,Other Maine,Not-Specified,UK,Live Pounds,175843,123999,97,6
2022,Monkfish,Portland,Cumberland,UK,Live Pounds,1047400,886382,557,32
2023,Monkfish,Other Maine,Not-Specified,UK,Live Pounds,169858,113695,95,3
2023,Monkfish,Port Clyde,Knox,UK,Live Pounds,71585,40555,72,3
2023,Monkfish,Portland,Cumberland,UK,Live Pounds,1287570,705161,659,25
2024,Monkfish,Portland,Cumberland,UK,Live Pounds,1016388,557418,541,22
