year,species,port,county,lob_zone,weight_type,weight,value,trip_n,harv_n
2008,Oyster Eastern / American,Damariscotta,Lincoln,UK,Live Pounds,357091,767475,155,4
2008,Oyster Eastern / American,Newcastle,Lincoln,UK,Live Pounds,89395,179476,112,7
2008,Oyster Eastern / American,Other Maine,Not-Specified,UK,Live Pounds,307733,693510,701,23
2009,Oyster Eastern / American,Damariscotta,Lincoln,UK,Live Pounds,503678,1096805,262,10
2009,Oyster Eastern / American,Newcastle,Lincoln,UK,Live Pounds,12666,24801,50,5
2009,Oyster Eastern / American,Other Maine,Not-Specified,UK,Live Pounds,279083,587980,989,19
2010,Oyster Eastern / American,Damariscotta,Lincoln,UK,Live Pounds,712788,1508613,272,9
2010,Oyster Eastern / American,Harpswell,Cumberland,UK,Live Pounds,66907,9659,21,7
2010,Oyster Eastern / American,Newcastle,Lincoln,UK,Live Pounds,50466,123608,193,3
2010,Oyster Eastern / American,Other Maine,Not-Specified,UK,Live Pounds,215301,305406,442,31
2010,Oyster Eastern / American,West Bath,Sagadahoc,UK,Live Pounds,37882,109921,229,3
2010,Oyster Eastern / American,Yarmouth,Cumberland,UK,Live Pounds,12736,28995,56,4
2011,Oyster Eastern / American,Brooksville,Hancock,UK,Live Pounds,40649,93706,174,4
2011,Oyster Eastern / American,Damariscotta,Lincoln,UK,Live Pounds,225153,519414,270,12
2011,Oyster Eastern / American,Harpswell,Cumberland,UK,Live Pounds,11580,9728,24,8
2011,Oyster Eastern / American,Newcastle,Lincoln,UK,Live Pounds,57471,155248,83,3
2011,Oyster Eastern / American,Other Maine,Not-Specified,UK,Live Pounds,261989,459621,549,27
2012,Oyster Eastern / American,Brooksville,Hancock,UK,Live Pounds,68729,156407,289,5
2012,Oyster Eastern / American,Damariscotta,Lincoln,UK,Live Pounds,163261,360266,279,11
2012,Oyster Eastern / American,Harpswell,Cumberland,UK,Live Pounds,16916,27188,61,10
2012,Oyster Eastern / American,Other Maine,Not-Specified,UK,Live Pounds,423511,1017852,591,35
2012,Oyster Eastern / American,Portland,Cumberland,UK,Live Pounds,13798,44161,92,5
2013,Oyster Eastern / American,Brooksville,Hancock,UK,Live Pounds,84652,189684,306,4
2013,Oyster Eastern / American,Damariscotta,Lincoln,UK,Live Pounds,394799,991881,326,12
2013,Oyster Eastern / American,Harpswell,Cumberland,UK,Live Pounds,11645,42038,88,5
