year,species,port,county,lob_zone,weight_type,weight,value,trip_n,harv_n
2008,Periwinkle Common,Lubec,Washington,UK,Live Pounds,338910,322688,3774,180
2008,Periwinkle Common,Other Maine,Not-Specified,UK,Live Pounds,496839,373124,4745,362
2008,Periwinkle Common,Trescott,Washington,UK,Live Pounds,9050,8138,86,19
2009,Periwinkle Common,Other Maine,Not-Specified,UK,Live Pounds,1086689,889458,10750,534
2010,Periwinkle Common,Lubec,Washington,UK,Live Pounds,421356,424953,5433,213
2010,Periwinkle Common,Other Maine,Not-Specified,UK,Live Pounds,684625,629296,6785,466
2011,Periwinkle Common,Jonesport,Washington,UK,Live Pounds,180719,151242,1128,113
2011,Periwinkle Common,Lubec,Washington,UK,Live Pounds,390815,364650,5332,195
2011,Periwinkle Common,Other Maine,Not-Specified,UK,Live Pounds,359854,338346,3705,338
2011,Periwinkle Common,South Bristol,Lincoln,UK,Live Pounds,9581,8319,132,27
2012,Periwinkle Common,Jonesport,Washington,UK,Live Pounds,206541,174935,1328,97
2012,Periwinkle Common,Lubec,Washington,UK,Live Pounds,336481,323735,4881,216
2012,Periwinkle Common,Other Maine,Not-Specified,UK,Live Pounds,385959,342532,4103,398
2013,Periwinkle Common,Jonesport,Washington,UK,Live Pounds,128704,113413,746,80
2013,Periwinkle Common,Lubec,Washington,UK,Live Pounds,442859,420120,7621,261
2013,Periwinkle Common,Other Maine,Not-Specified,UK,Live Pounds,397858,365174,3876,354
2014,Periwinkle Common,Lubec,Washington,UK,Live Pounds,252234,248921,4124,229
2014,Periwinkle Common,Other Maine,Not-Specified,UK,Live Pounds,575057,545656,5238,412
2015,Periwinkle Common,Jonesport,Washington,UK,Live Pounds,79385,84843,369,51
2015,Periwinkle Common,Lubec,Washington,UK,Live Pounds,155872,169152,2403,164
2015,Periwinkle Common,Other Maine,Not-Specified,UK,Live Pounds,506192,528787,4604,394
2016,Periwinkle Common,Jonesport,Washington,UK,Live Pounds,49641,49982,302,48
2016,Periwinkle Common,Lubec,Washington,UK,Live Pounds,222064,222996,3282,178
2016,Periwinkle Common,Other Maine,Not-Specified,UK,Live Pounds,460614,464894,5369,392
2017,Periwinkle Common,Lubec,Washington,UK,Live Pounds,227873,218279,3421,171
2017,Periwinkle Common,Other Maine,Not-Specified,UK,Live Pounds,500860,527195,5270,421
2018,Periwinkle Common,Jonesboro,Washington,UK,Live Pounds,169461,186746,1366,131
2018,Periwinkle Common,Lubec,Washington,UK,Live Pounds,219923,204212,2946,127
2018,Periwinkle Common,Other Maine,Not-Specified,UK,Live Pounds,259288,234297,2564,277
2018,Periwinkle Common,Pembroke,Washington,UK,Live Pounds,16175,13337,222,37
2019,Periwinkle Common,Lubec,Washington,UK,Live Pounds,141407,150346,1805,112
2019,Periwinkle Common,Pembroke,Washington,UK,Live Pounds,29495,29207,410,57
2020,Periwinkle Common,Lubec,Washington,UK,Live Pounds,39351,46053,559,57
2020,Periwinkle Common,Other Maine,Not-Specified,UK,Live Pounds,224951,251174,1860,233
2021,Periwinkle Common,Cushing,Knox,UK,Live Pounds,1554,2195,5,4
2021,Periwinkle Common,Lubec,Washington,UK,Live Pounds,37488,61428,403,45
2021,Periwinkle Common,Machiasport,Washington,UK,Live Pounds,2417,3342,22,9
2021,Periwinkle Common,Other Maine,Not-Specified,UK,Live Pounds,323879,525268,2450,233
2021,Periwinkle Common,Pembroke,Washington,UK,Live Pounds,2908,3851,53,19
2021,Periwinkle Common,Perry,Washington,UK,Live Pounds,127920,225393,1688,182
2022,Periwinkle Common,Beals,Washington,UK,Live Pounds,453705,714789,3482,266
2022,Periwinkle Common,Lubec,Washington,UK,Live Pounds,28505,48950,325,33
2022,Periwinkle Common,Other Maine,Not-Specified,UK,Live Pounds,103064,173532,888,146
2023,Periwinkle Common,Harpswell,Cumberland,UK,Live Pounds,4582,6356,16,7
2023,Periwinkle Common,Other Maine,Not-Specified,UK,Live Pounds,361756,507825,3001,269
2024,Periwinkle Common,Other Maine,Not-Specified,UK,Live Pounds,432867,600596,3736,278
