year,species,port,county,lob_zone,weight_type,weight,value,trip_n,harv_n
2008,Plaice American (Dab),Other Maine,Not-Specified,UK,Live Pounds,16491,25119,69,23
2008,Plaice American (Dab),Portland,Cumberland,UK,Live Pounds,437031,1133711,1091,51
2009,Plaice American (Dab),Other Maine,Not-Specified,UK,Live Pounds,107167,95363,260,24
2009,Plaice American (Dab),Portland,Cumberland,UK,Live Pounds,216155,234364,977,38
2010,Plaice American (Dab),Other Maine,Not-Specified,UK,Live Pounds,192423,282846,635,41
2011,Plaice American (Dab),Portland,Cumberland,UK,Live Pounds,92077,142874,424,32
2012,Plaice American (Dab),Other Maine,Not-Specified,UK,Live Pounds,254636,429252,841,43
2013,Plaice American (Dab),Other Maine,Not-Specified,UK,Live Pounds,484159,779015,833,30
2015,Plaice American (Dab),Other Maine,Not-Specified,UK,Live Pounds,647027,1181142,517,22
2017,Plaice American (Dab),Other Maine,Not-Specified,UK,Live Pounds,316540,796208,391,20
2020,Plaice American (Dab),Portland,Cumberland,UK,Live Pounds,89279,115075,260,19
2021,Plaice American (Dab),Other Maine,Not-Specified,UK,Live Pounds,34687,63035,180,20
2022,Plaice American (Dab),Other Maine,Not-Specified,UK,Live Pounds,5273,8078,47,5
2022,Plaice American (Dab),Portland,Cumberland,UK,Live Pounds,109054,138371,238,21
2023,Plaice American (Dab),Other Maine,Not-Specified,UK,Live Pounds,403627,535250,461,20
