year,species,port,county,lob_zone,weight_type,weight,value,trip_n,harv_n
2008,Redfish Acadian Ocean Perch,Other Maine,Not-Specified,UK,Live Pounds,4344,4276,66,21
2008,Redfish Acadian Ocean Perch,Portland,Cumberland,UK,Live Pounds,217378,128662,1106,55
2009,Redfish Acadian Ocean Perch,Other Maine,Not-Specified,UK,Live Pounds,155784,105824,1178,50
2010,Redfish Acadian Ocean Perch,Other Maine,Not-Specified,UK,Live Pounds,126643,92059,486,35
2010,Redfish Acadian Ocean Perch,Port Clyde,Knox,UK,Live Pounds,5706,5006,58,8
2011,Redfish Acadian Ocean Perch,Portland,Cumberland,UK,Live Pounds,113387,86644,436,35
2012,Redfish Acadian Ocean Perch,Other Maine,Not-Specified,UK,Live Pounds,1054122,685702,835,45
2013,Redfish Acadian Ocean Perch,Portland,Cumberland,UK,Live Pounds,256693,175120,664,26
2014,Redfish Acadian Ocean Perch,Other Maine,Not-Specified,UK,Live Pounds,571888,337983,724,33
2015,Redfish Acadian Ocean Perch,Other Maine,Not-Specified,UK,Live Pounds,1872,1566,48,6
2015,Redfish Acadian Ocean Perch,Portland,Cumberland,UK,Live Pounds,550184,355367,431,19
2016,Redfish Acadian Ocean Perch,Other Maine,Not-Specified,UK,Live Pounds,209267,151306,328,27
2017,Redfish Acadian Ocean Perch,Other Maine,Not-Specified,UK,Live Pounds,185473,114302,336,23
2018,Redfish Acadian Ocean Perch,Other Maine,Not-Specified,UK,Live Pounds,190782,125514,423,30
2019,Redfish Acadian Ocean Perch,Portland,Cumberland,UK,Live Pounds,91495,49753,273,21
2020,Redfish Acadian Ocean Perch,Other Maine,Not-Specified,UK,Live Pounds,1601,987,30,6
2020,Redfish Acadian Ocean Perch,Portland,Cumberland,UK,Live Pounds,52753,28264,178,20
2021,Redfish Acadian Ocean Perch,Other Maine,Not-Specified,UK,Live Pounds,24648,17779,147,18
2022,Redfish Acadian Ocean Perch,Other Maine,Not-Specified,UK,Live Pounds,4394,4215,33,3
2022,Redfish Acadian Ocean Perch,Portland,Cumberland,UK,Live Pounds,16252,11655,173,20
2023,Redfish Acadian Ocean Perch,Other Maine,Not-Specified,UK,Live Pounds,21953,16305,195,17
2023,Redfish Acadian Ocean Perch,Port Clyde,Knox,UK,Live Pounds,1394,1436,35,3
