year,species,port,county,lob_zone,weight_type,weight,value,trip_n,harv_n
2009,Rockweed,Other Maine,Not-Specified,UK,Live Pounds,8815035,242864,872,24
2010,Rockweed,Other Maine,Not-Specified,UK,Live Pounds,11361299,378837,979,30
2011,Rockweed,Other Maine,Not-Specified,UK,Live Pounds,14634755,489092,1500,37
2012,Rockweed,Other Maine,Not-Specified,UK,Live Pounds,15489492,478555,1649,44
2013,Rockweed,Other Maine,Not-Specified,UK,Live Pounds,17795841,549744,1950,43
2014,Rockweed,Other Maine,Not-Specified,UK,Live Pounds,16282440,561824,1305,33
2015,Rockweed,Other Maine,Not-Specified,UK,Live Pounds,14981702,515916,1422,31
2016,Rockweed,Other Maine,Not-Specified,UK,Live Pounds,17367229,557490,1332,34
2017,Rockweed,Other Maine,Not-Specified,UK,Live Pounds,20355995,657508,1837,39
2018,Rockweed,Other Maine,Not-Specified,UK,Live Pounds,23189252,874009,2131,57
2020,Rockweed,Other Maine,Not-Specified,UK,Live Pounds,15562783,713521,1092,33
2021,Rockweed,Other Maine,Not-Specified,UK,Live Pounds,15824411,628930,1338,42
2022,Rockweed,Addison,Washington,UK,Live Pounds,894345,26510,84,4
2022,Rockweed,Other Maine,Not-Specified,UK,Live Pounds,11954479,503028,1313,44
2023,Rockweed,Bremen,Lincoln,UK,Live Pounds,1375638,58344,62,3
2023,Rockweed,Other Maine,Not-Specified,UK,Live Pounds,17517028,741860,1389,51
2024,Rockweed,Other Maine,Not-Specified,UK,Live Pounds,16801878,855846,1399,42
