year,species,port,county,lob_zone,weight_type,weight,value,trip_n,harv_n
2008,Sandworms,Addison,Washington,UK,Live Pounds,33172,159296,1217,56
2008,Sandworms,Beals,Washington,UK,Live Pounds,75276,361324,2738,74
2008,Sandworms,Gouldsboro,Hancock,UK,Live Pounds,1146,5523,35,11
2008,Sandworms,Hancock,Hancock,UK,Live Pounds,1449,6956,40,14
2008,Sandworms,Harrington,Washington,UK,Live Pounds,2628,12641,103,23
2008,Sandworms,Jonesport,Washington,UK,Live Pounds,11127,53774,432,51
2008,Sandworms,Lamoine,Hancock,UK,Live Pounds,3997,23547,134,18
2008,Sandworms,Milbridge,Washington,UK,Live Pounds,1989,10316,81,15
2008,Sandworms,Other Lincoln,Lincoln,UK,Live Pounds,37172,223016,1372,47
2008,Sandworms,Other Maine,Not-Specified,UK,Live Pounds,69842,397474,2148,114
2008,Sandworms,Sorrento,Hancock,UK,Live Pounds,2583,13601,91,14
2008,Sandworms,Trenton,Hancock,UK,Live Pounds,691,3377,21,9
2008,Sandworms,Wiscasset,Lincoln,UK,Live Pounds,5438,32407,209,27
2008,Sandworms,Woolwich,Sagadahoc,UK,Live Pounds,31913,191495,1034,33
2009,Sandworms,Addison,Washington,UK,Live Pounds,31951,153379,1215,60
2009,Sandworms,Beals,Washington,UK,Live Pounds,84082,403597,3185,73
2009,Sandworms,Blue Hill,Hancock,UK,Live Pounds,2670,13941,89,20
2009,Sandworms,Hancock,Hancock,UK,Live Pounds,7108,34263,144,11
2009,Sandworms,Harrington,Washington,UK,Live Pounds,7606,36540,236,22
2009,Sandworms,Jonesport,Washington,UK,Live Pounds,15751,76275,647,52
2009,Sandworms,Milbridge,Washington,UK,Live Pounds,1743,8801,112,17
2009,Sandworms,Other Lincoln,Lincoln,UK,Live Pounds,68367,410177,2378,44
2009,Sandworms,Other Maine,Not-Specified,UK,Live Pounds,71844,414417,2548,129
2009,Sandworms,Sorrento,Hancock,UK,Live Pounds,483,2368,17,7
2009,Sandworms,Steuben,Washington,UK,Live Pounds,992,4896,36,7
2009,Sandworms,Trenton,Hancock,UK,Live Pounds,6487,38262,170,12
2010,Sandworms,Addison,Washington,UK,Live Pounds,35933,172992,1513,65
2010,Sandworms,Beals,Washington,UK,Live Pounds,70350,337681,2571,59
2010,Sandworms,Gouldsboro,Hancock,UK,Live Pounds,2006,10688,52,13
2010,Sandworms,Hancock,Hancock,UK,Live Pounds,11170,54702,284,24
2010,Sandworms,Harrington,Washington,UK,Live Pounds,7594,36475,280,36
