year,species,port,county,lob_zone,weight_type,weight,value,trip_n,harv_n
2008,Scallop Sea,Blue Hill,Hancock,UK,Meat Pounds,4208,51738,95,10
2008,Scallop Sea,Jonesport,Washington,UK,Meat Pounds,4752,34553,103,25
2008,Scallop Sea,Machiasport,Washington,UK,Meat Pounds,6898,45150,65,10
2008,Scallop Sea,Other Maine,Not-Specified,UK,Meat Pounds,100726,725827,1443,175
2008,Scallop Sea,Pembroke,Washington,UK,Meat Pounds,15750,104382,182,31
2008,Scallop Sea,Stonington,Hancock,UK,Meat Pounds,4156,52440,163,10
2009,Scallop Sea,Blue Hill,Hancock,UK,Meat Pounds,1770,23038,28,5
2009,Scallop Sea,Lubec,Washington,UK,Meat Pounds,10264,67237,98,22
2009,Scallop Sea,Other Maine,Not-Specified,UK,Meat Pounds,62212,466455,818,128
2009,Scallop Sea,Pembroke,Washington,UK,Meat Pounds,5139,35104,45,14
2010,Scallop Sea,Blue Hill,Hancock,UK,Meat Pounds,4620,57471,69,6
2010,Scallop Sea,Cutler,Washington,UK,Meat Pounds,450,3449,10,9
2010,Scallop Sea,Deer Isle,Hancock,UK,Meat Pounds,488,4686,9,3
2010,Scallop Sea,Eastport,Washington,UK,Meat Pounds,211,2830,3,3
2010,Scallop Sea,Harpswell,Cumberland,UK,Meat Pounds,1598,13336,35,4
2010,Scallop Sea,Jonesport,Washington,UK,Meat Pounds,33980,251186,398,61
2010,Scallop Sea,Lubec,Washington,UK,Meat Pounds,19150,139205,224,36
2010,Scallop Sea,Machiasport,Washington,UK,Meat Pounds,2292,51614,104,18
2010,Scallop Sea,Other Maine,Not-Specified,UK,Meat Pounds,79976,596932,842,103
2010,Scallop Sea,Pembroke,Washington,UK,Meat Pounds,26780,220720,257,38
2010,Scallop Sea,Portland,Cumberland,UK,Meat Pounds,3829,26689,44,7
2010,Scallop Sea,Sorrento,Hancock,UK,Meat Pounds,5063,43937,53,5
2010,Scallop Sea,Southwest Harbor,Hancock,UK,Meat Pounds,2308,23428,39,12
2010,Scallop Sea,Spruce Head,Knox,UK,Meat Pounds,5551,45814,82,11
2010,Scallop Sea,Stonington,Hancock,UK,Meat Pounds,6190,64546,141,13
2011,Scallop Sea,Blue Hill,Hancock,UK,Meat Pounds,4316,53856,91,14
2011,Scallop Sea,Brooklin,Hancock,UK,Meat Pounds,405,3797,14,3
2011,Scallop Sea,Harpswell,Cumberland,UK,Meat Pounds,736,7342,34,4
2011,Scallop Sea,Jonesport,Washington,UK,Meat Pounds,41649,395008,604,77
2011,Scallop Sea,Lubec,Washington,UK,Meat Pounds,24395,238384,282,61
2011,Scallop Sea,Milbridge,Washington,UK,Meat Pounds,2301,21241,47,11
2011,Scallop Sea,Mount Desert,Hancock,UK,Meat Pounds,867,8844,23,4
2011,Scallop Sea,Northeast Harbor,Hancock,UK,Meat Pounds,1423,17257,18,4
2011,Scallop Sea,Other Hancock,Hancock,UK,Meat Pounds,3733,33663,73,24
2011,Scallop Sea,Other Maine,Not-Specified,UK,Meat Pounds,56285,587486,781,133
2011,Scallop Sea,Pembroke,Washington,UK,Meat Pounds,21194,202370,223,42
2011,Scallop Sea,Portland,Cumberland,UK,Meat Pounds,3402,28233,55,6
2011,Scallop Sea,Spruce Head,Knox,UK,Meat Pounds,7119,71361,120,9
2011,Scallop Sea,Stonington,Hancock,UK,Meat Pounds,7274,78934,180,24
2012,Scallop Sea,Beals,Washington,UK,Meat Pounds,22147,221119,347,66
2012,Scallop Sea,Blue Hill,Hancock,UK,Meat Pounds,10174,123011,123,30
2012,Scallop Sea,Gouldsboro,Hancock,UK,Meat Pounds,4655,74596,50,21
2012,Scallop Sea,Hancock,Hancock,UK,Meat Pounds,2893,32043,29,5
2012,Scallop Sea,Jonesport,Washington,UK,Meat Pounds,35169,340703,399,55
2012,Scallop Sea,Lubec,Washington,UK,Meat Pounds,41895,410080,481,79
2012,Scallop Sea,Machiasport,Washington,UK,Meat Pounds,4088,189572,236,31
2012,Scallop Sea,Mount Desert,Hancock,UK,Meat Pounds,35067,329454,235,54
2012,Scallop Sea,Other Hancock,Hancock,UK,Meat Pounds,5101,61358,71,13
2012,Scallop Sea,Other Maine,Not-Specified,UK,Meat Pounds,42541,500954,623,103
2012,Scallop Sea,Owls Head,Knox,UK,Meat Pounds,1091,11575,15,4
2012,Scallop Sea,Pembroke,Washington,UK,Meat Pounds,25130,245595,310,67
2012,Scallop Sea,Portland,Cumberland,UK,Meat Pounds,11795,123438,151,14
2012,Scallop Sea,Southwest Harbor,Hancock,UK,Meat Pounds,14705,156338,144,30
2012,Scallop Sea,Spruce Head,Knox,UK,Meat Pounds,4768,51667,68,14
2012,Scallop Sea,Steuben,Washington,UK,Meat Pounds,1464,29992,21,9
2012,Scallop Sea,Stonington,Hancock,UK,Meat Pounds,28121,332192,456,40
2012,Scallop Sea,Winter Harbor,Hancock,UK,Meat Pounds,1673,16051,18,8
2013,Scallop Sea,Beals,Washington,UK,Meat Pounds,30796,344684,317,71
2013,Scallop Sea,Blue Hill,Hancock,UK,Meat Pounds,8515,159688,169,26
2013,Scallop Sea,Corea,Hancock,UK,Meat Pounds,8021,82604,58,19
2013,Scallop Sea,Eastport,Washington,UK,Meat Pounds,36355,465796,415,85
2013,Scallop Sea,Gouldsboro,Hancock,UK,Meat Pounds,6259,79690,59,20
2013,Scallop Sea,Jonesport,Washington,UK,Meat Pounds,46491,497019,494,56
2013,Scallop Sea,Lubec,Washington,UK,Meat Pounds,82629,950761,969,100
2013,Scallop Sea,Machiasport,Washington,UK,Meat Pounds,57569,598605,638,39
2013,Scallop Sea,Other Maine,Not-Specified,UK,Meat Pounds,46142,504675,567,105
2013,Scallop Sea,Pembroke,Washington,UK,Meat Pounds,89087,964337,1036,116
2013,Scallop Sea,Port Clyde,Knox,UK,Meat Pounds,22929,272669,144,3
2013,Scallop Sea,Portland,Cumberland,UK,Meat Pounds,21295,178750,178,16
2013,Scallop Sea,Southwest Harbor,Hancock,UK,Meat Pounds,2567,27620,47,13
2013,Scallop Sea,Spruce Head,Knox,UK,Meat Pounds,5078,53549,57,10
2013,Scallop Sea,Steuben,Washington,UK,Meat Pounds,6682,75895,79,10
2013,Scallop Sea,Stonington,Hancock,UK,Meat Pounds,34659,392810,572,42
2013,Scallop Sea,Tenants Harbor,Knox,UK,Meat Pounds,537,5596,11,3
2014,Scallop Sea,Blue Hill,Hancock,UK,Meat Pounds,5813,81726,95,8
2014,Scallop Sea,Brooklin,Hancock,UK,Meat Pounds,1506,18889,15,4
2014,Scallop Sea,Cutler,Washington,UK,Meat Pounds,4880,64114,54,14
2014,Scallop Sea,Eastport,Washington,UK,Meat Pounds,38887,486932,457,98
2014,Scallop Sea,Edmunds,Washington,UK,Meat Pounds,5152,65530,60,25
2014,Scallop Sea,Gouldsboro,Hancock,UK,Meat Pounds,1030,19121,14,7
2014,Scallop Sea,Jonesport,Washington,UK,Meat Pounds,99386,1241785,1048,89
2014,Scallop Sea,Lubec,Washington,UK,Meat Pounds,107045,1360133,1235,102
2014,Scallop Sea,Machiasport,Washington,UK,Meat Pounds,92283,1167352,868,54
2014,Scallop Sea,Milbridge,Washington,UK,Meat Pounds,3599,46047,39,6
2014,Scallop Sea,Other Maine,Not-Specified,UK,Meat Pounds,87939,1139867,955,167
2014,Scallop Sea,Owls Head,Knox,UK,Meat Pounds,5146,62730,47,3
2014,Scallop Sea,Pembroke,Washington,UK,Meat Pounds,29119,368720,353,68
2014,Scallop Sea,Port Clyde,Knox,UK,Meat Pounds,11087,146619,96,5
2014,Scallop Sea,Portland,Cumberland,UK,Meat Pounds,31950,365820,289,23
2014,Scallop Sea,Sorrento,Hancock,UK,Meat Pounds,5491,73935,60,5
2014,Scallop Sea,South Thomaston,Knox,UK,Meat Pounds,1239,15321,47,4
2014,Scallop Sea,Southwest Harbor,Hancock,UK,Meat Pounds,6777,90650,95,10
2014,Scallop Sea,Spruce Head,Knox,UK,Meat Pounds,10075,124263,98,13
2014,Scallop Sea,Steuben,Washington,UK,Meat Pounds,926,32407,31,9
2014,Scallop Sea,Stonington,Hancock,UK,Meat Pounds,48108,622485,737,40
2014,Scallop Sea,Tenants Harbor,Knox,UK,Meat Pounds,4633,37535,39,3
2014,Scallop Sea,Trescott,Washington,UK,Meat Pounds,2117,24351,40,4
2014,Scallop Sea,Winter Harbor,Hancock,UK,Meat Pounds,1172,16246,17,6
2015,Scallop Sea,Blue Hill,Hancock,UK,Meat Pounds,3670,52637,52,11
2015,Scallop Sea,Brooklin,Hancock,UK,Meat Pounds,2508,30845,25,3
2015,Scallop Sea,Cutler,Washington,UK,Meat Pounds,3559,45093,42,10
2015,Scallop Sea,Deer Isle,Hancock,UK,Meat Pounds,6754,81662,74,8
2015,Scallop Sea,Eastport,Washington,UK,Meat Pounds,15793,207641,221,36
2015,Scallop Sea,Edmunds,Washington,UK,Meat Pounds,5009,65431,63,11
2015,Scallop Sea,Friendship,Knox,UK,Meat Pounds,940,11965,13,5
2015,Scallop Sea,Gouldsboro,Hancock,UK,Meat Pounds,3418,46098,31,9
2015,Scallop Sea,Jonesport,Washington,UK,Meat Pounds,70434,880154,757,92
2015,Scallop Sea,Lubec,Washington,UK,Meat Pounds,120841,1525796,1414,114
2015,Scallop Sea,Machiasport,Washington,UK,Meat Pounds,87953,1108705,855,48
2015,Scallop Sea,Mount Desert,Hancock,UK,Meat Pounds,2755,36281,31,9
2015,Scallop Sea,Other Maine,Not-Specified,UK,Meat Pounds,49794,631430,562,100
2015,Scallop Sea,Pembroke,Washington,UK,Meat Pounds,33436,424287,419,92
2015,Scallop Sea,Perry,Washington,UK,Meat Pounds,5880,76101,79,25
2015,Scallop Sea,Portland,Cumberland,UK,Meat Pounds,11764,146027,123,14
2015,Scallop Sea,Roque Bluffs,Washington,UK,Meat Pounds,3500,45041,39,5
2015,Scallop Sea,Sorrento,Hancock,UK,Meat Pounds,2341,31766,25,5
2015,Scallop Sea,South Thomaston,Knox,UK,Meat Pounds,1357,17245,44,7
2015,Scallop Sea,Southwest Harbor,Hancock,UK,Meat Pounds,5172,68781,67,13
