year,species,port,county,lob_zone,weight_type,weight,value,trip_n,harv_n
2008,Sea Urchin,Cutler,Washington,UK,Live Pounds,62388,97997,82,55
2008,Sea Urchin,Ellsworth,Hancock,UK,Live Pounds,114414,194661,182,64
2008,Sea Urchin,Jonesport,Washington,UK,Live Pounds,960416,1748792,1428,234
2008,Sea Urchin,Lubec,Washington,UK,Live Pounds,1050445,2040211,1250,149
2008,Sea Urchin,Other Maine,Not-Specified,UK,Live Pounds,823756,1438637,1238,205
2008,Sea Urchin,Tenants Harbor,Knox,UK,Live Pounds,47794,127464,88,29
2009,Sea Urchin,Cutler,Washington,UK,Live Pounds,142656,203254,177,45
2009,Sea Urchin,Jonesport,Washington,UK,Live Pounds,986911,1519626,1521,191
2009,Sea Urchin,Lubec,Washington,UK,Live Pounds,843545,1547225,1248,157
2009,Sea Urchin,Other Maine,Not-Specified,UK,Live Pounds,849392,1380756,1150,227
2009,Sea Urchin,Other Washington,Washington,UK,Live Pounds,342020,580124,497,122
2009,Sea Urchin,Winter Harbor,Hancock,UK,Live Pounds,322217,635391,443,55
2010,Sea Urchin,Ellsworth,Hancock,UK,Live Pounds,638512,1392278,1259,185
2010,Sea Urchin,Jonesport,Washington,UK,Live Pounds,529357,1020581,871,146
2010,Sea Urchin,Lubec,Washington,UK,Live Pounds,704907,1618575,1193,152
2010,Sea Urchin,Other Maine,Not-Specified,UK,Live Pounds,641373,1330134,974,170
2010,Sea Urchin,Tenants Harbor,Knox,UK,Live Pounds,77367,128258,180,31
2011,Sea Urchin,Ellsworth,Hancock,UK,Live Pounds,501109,990583,922,164
2011,Sea Urchin,Jonesport,Washington,UK,Live Pounds,336685,736271,506,80
2011,Sea Urchin,Lubec,Washington,UK,Live Pounds,783208,1698459,1355,159
2011,Sea Urchin,Other Maine,Not-Specified,UK,Live Pounds,705899,1526467,1087,209
2011,Sea Urchin,Tenants Harbor,Knox,UK,Live Pounds,80173,161575,190,24
2012,Sea Urchin,Ellsworth,Hancock,UK,Live Pounds,217006,507570,378,80
2012,Sea Urchin,Jonesport,Washington,UK,Live Pounds,135048,387910,235,60
