year,species,port,county,lob_zone,weight_type,weight,value,trip_n,harv_n
2008,Unidentified Catch,Other Maine,Not-Specified,UK,Live Pounds,28383542,57482460,1645,93
2009,Unidentified Catch,Other Maine,Not-Specified,UK,Live Pounds,21259247,39201471,1682,90
2010,Unidentified Catch,Other Maine,Not-Specified,UK,Live Pounds,29832095,78078232,1501,74
2011,Unidentified Catch,Other Maine,Not-Specified,UK,Live Pounds,12420596,24917095,3411,128
2012,Unidentified Catch,Other Maine,Not-Specified,UK,Live Pounds,30773018,81183362,3232,82
2013,Unidentified Catch,Other Maine,Not-Specified,UK,Live Pounds,21891654,67250104,2420,66
2014,Unidentified Catch,Other Maine,Not-Specified,UK,Live Pounds,15633721,49514998,2419,55
2015,Unidentified Catch,Other Maine,Not-Specified,UK,Live Pounds,11886511,36658975,277,42
2016,Unidentified Catch,Other Maine,Not-Specified,UK,Live Pounds,31454338,100103242,713,64
2017,Unidentified Catch,Other Maine,Not-Specified,UK,Live Pounds,15263475,46797417,552,48
2018,Unidentified Catch,Other Maine,Not-Specified,UK,Live Pounds,24319872,54548196,1838,79
2020,Unidentified Catch,Other Maine,Not-Specified,UK,Live Pounds,16168767,39160282,649,78
2021,Unidentified Catch,Other Maine,Not-Specified,UK,Live Pounds,21461576,60412190,492,57
2022,Unidentified Catch,Other Maine,Not-Specified,UK,Live Pounds,27863250,89497373,229,45
2023,Unidentified Catch,Other Maine,Not-Specified,UK,Live Pounds,15899804,47863901,359,56
2024,Unidentified Catch,Other Maine,Not-Specified,UK,Live Pounds,23227518,82673663,1544,59
