year,species,port,county,lob_zone,weight_type,weight,value,trip_n,harv_n
2010,Whelk Waved,Other Maine,Not-Specified,UK,Live Pounds,30904,21941,155,30
2011,Whelk Waved,Other Maine,Not-Specified,UK,Live Pounds,40459,24584,168,37
2012,Whelk Waved,Other Maine,Not-Specified,UK,Live Pounds,31480,17972,140,32
2013,Whelk Waved,Other Maine,Not-Specified,UK,Live Pounds,26600,16633,172,45
2014,Whelk Waved,Other Maine,Not-Specified,UK,Live Pounds,32988,19037,284,54
2015,Whelk Waved,Other Maine,Not-Specified,UK,Live Pounds,24149,13967,278,47
2016,Whelk Waved,Other Maine,Not-Specified,UK,Live Pounds,22469,11978,276,41
2017,Whelk Waved,Other Maine,Not-Specified,UK,Live Pounds,12253,7529,203,31
2018,Whelk Waved,Other Maine,Not-Specified,UK,Live Pounds,6376,4182,200,28
2022,Whelk Waved,Other Maine,Not-Specified,UK,Live Pounds,2488,4148,90,16
2023,Whelk Waved,Other Maine,Not-Specified,UK,Live Pounds,1873,2597,95,10
