year,species,port,county,lob_zone,weight_type,weight,value,trip_n,harv_n
2008,Lobster American,Addison,Washington,A,Live Pounds,874072,2811849,2905,80
2008,Lobster American,Bailey Island,Cumberland,F,Live Pounds,1300961,4380685,6383,100
2008,Lobster American,Bar Harbor,Hancock,B,Live Pounds,749213,2761140,1942,71
2008,Lobster American,Bass Harbor,Hancock,B,Live Pounds,860515,3237509,3633,89
2008,Lobster American,Beals,Washington,A,Live Pounds,1463538,4777284,6845,173
2008,Lobster American,Birch Harbor,Hancock,A,Live Pounds,469694,1686543,1712,20
2008,Lobster American,Blue Hill,Hancock,C,Live Pounds,501953,1871689,1483,58
2008,Lobster American,Boothbay Harbor,Lincoln,E,Live Pounds,1167021,4076447,5475,144
2008,Lobster American,Bremen,Lincoln,D,Live Pounds,714036,2313530,3711,67
2008,Lobster American,Brooksville,Hancock,C,Live Pounds,16853,66953,87,9
2008,Lobster American,Bucks Harbor,Washington,A,Live Pounds,973689,3235569,4710,83
2008,Lobster American,Cape Porpoise,York,G,Live Pounds,564254,2139812,3357,56
2008,Lobster American,Cundys Harbor,Cumberland,F,Live Pounds,838868,2736997,3269,51
2008,Lobster American,Cushing,Knox,D,Live Pounds,1383106,4816285,4712,85
2008,Lobster American,Cutler,Washington,A,Live Pounds,1252792,4253588,2706,58
2008,Lobster American,Deer Isle,Hancock,C,Live Pounds,1018365,3676704,3439,71
2008,Lobster American,Eastport,Washington,A,Live Pounds,471958,1792250,1029,31
2008,Lobster American,Falmouth,Cumberland,F,Live Pounds,36272,154156,192,9
2008,Lobster American,Five Islands,Sagadahoc,E,Live Pounds,230984,835550,1240,52
2008,Lobster American,Freeport,Cumberland,F,Live Pounds,650371,2367096,2137,54
2008,Lobster American,Friendship,Knox,D,Live Pounds,3050380,10957630,12239,189
2008,Lobster American,Georgetown,Sagadahoc,E,Live Pounds,290646,960824,1160,33
2008,Lobster American,Gouldsboro,Hancock,A,Live Pounds,327995,1016549,1427,30
2008,Lobster American,Gouldsboro,Hancock,B,Live Pounds,15840,55012,73,3
2008,Lobster American,Hancock,Hancock,B,Live Pounds,25262,93814,119,8
2008,Lobster American,Harpswell,Cumberland,F,Live Pounds,1971295,6725615,8342,190
2008,Lobster American,Harrington,Washington,A,Live Pounds,332511,1136886,1273,29
2008,Lobster American,Jonesport,Washington,A,Live Pounds,2815796,9551861,13131,247
2008,Lobster American,Kennebunkport,York,G,Live Pounds,194220,724326,1213,36
2008,Lobster American,Kittery,York,G,Live Pounds,1130810,4527936,4677,83
2008,Lobster American,Lincolnville,Waldo,D,Live Pounds,21776,83586,177,7
2008,Lobster American,Milbridge,Washington,A,Live Pounds,1462483,5135465,5900,87
2008,Lobster American,Monhegan,Lincoln,D,Live Pounds,71414,237528,90,10
2008,Lobster American,Mount Desert,Hancock,B,Live Pounds,2530,11470,13,6
2008,Lobster American,New Harbor,Lincoln,E,Live Pounds,989284,3250698,4361,46
2008,Lobster American,Ogunquit,York,G,Live Pounds,136430,504407,377,11
