year,species,port,county,lob_zone,weight_type,weight,value,trip_n,harv_n
2008,Clam Soft,Addison,Washington,UK,Live Pounds,141208,171648,1578,85
2008,Clam Soft,Bar Harbor,Hancock,UK,Live Pounds,13356,20400,102,6
2008,Clam Soft,Biddeford Pool,York,UK,Live Pounds,31232,33933,235,6
2008,Clam Soft,Blue Hill,Hancock,UK,Live Pounds,10671,14423,85,13
2008,Clam Soft,Boothbay,Lincoln,UK,Live Pounds,123488,171559,1429,54
2008,Clam Soft,Boothbay Harbor,Lincoln,UK,Live Pounds,69631,97928,679,14
2008,Clam Soft,Bremen,Lincoln,UK,Live Pounds,43983,53527,506,37
2008,Clam Soft,Bristol,Lincoln,UK,Live Pounds,7689,9834,104,28
2008,Clam Soft,Brooklin,Hancock,UK,Live Pounds,179738,252028,1275,77
2008,Clam Soft,Brooksville,Hancock,UK,Live Pounds,6541,8512,114,23
2008,Clam Soft,Brunswick,Cumberland,UK,Live Pounds,637451,913890,5726,86
2008,Clam Soft,Chebeague Island,Cumberland,UK,Live Pounds,4817,5949,36,4
2008,Clam Soft,Cushing,Knox,UK,Live Pounds,276542,338388,3133,125
2008,Clam Soft,Cutler,Washington,UK,Live Pounds,151956,204153,2006,53
2008,Clam Soft,Damariscotta,Lincoln,UK,Live Pounds,624883,750666,5462,171
2008,Clam Soft,Deer Isle,Hancock,UK,Live Pounds,812267,956471,6695,128
2008,Clam Soft,Franklin,Hancock,UK,Live Pounds,39928,55712,355,53
2008,Clam Soft,Freeport,Cumberland,UK,Live Pounds,804968,1088420,4552,114
2008,Clam Soft,Friendship,Knox,UK,Live Pounds,198526,238165,2365,86
2008,Clam Soft,Georgetown,Sagadahoc,UK,Live Pounds,204264,304698,2085,24
2008,Clam Soft,Gouldsboro,Hancock,UK,Live Pounds,61253,78026,645,33
2008,Clam Soft,Hancock,Hancock,UK,Live Pounds,19028,23302,207,31
2008,Clam Soft,Harpswell,Cumberland,UK,Live Pounds,452296,645333,4334,87
2008,Clam Soft,Harrington,Washington,UK,Live Pounds,290117,360794,3226,95
2008,Clam Soft,Isle au Haut,Knox,UK,Live Pounds,11519,13950,144,23
2008,Clam Soft,Jonesport,Washington,UK,Live Pounds,104819,126744,1179,69
2008,Clam Soft,Lamoine,Hancock,UK,Live Pounds,158312,216190,1664,125
2008,Clam Soft,Lubec,Washington,UK,Live Pounds,62080,81659,1053,49
2008,Clam Soft,Machiasport,Washington,UK,Live Pounds,402464,507555,4843,124
2008,Clam Soft,Milbridge,Washington,UK,Live Pounds,200672,234111,2253,122
2008,Clam Soft,Mount Desert,Hancock,UK,Live Pounds,613,895,8,4
2008,Clam Soft,Newcastle,Lincoln,UK,Live Pounds,2398,2834,38,9
2008,Clam Soft,Other Hancock,Hancock,UK,Live Pounds,40855,59257,383,42
2008,Clam Soft,Other Maine,Not-Specified,UK,Live Pounds,176746,244529,2521,191
2008,Clam Soft,Other Maine,UK,UK,Live Pounds,1410,2044,7,5
2008,Clam Soft,Other Washington,Washington,UK,Live Pounds,567,713,7,5
2008,Clam Soft,Pembroke,Washington,UK,Live Pounds,33931,40474,611,20
2008,Clam Soft,Penobscot,Hancock,UK,Live Pounds,75474,115382,378,50
2008,Clam Soft,Perry,Washington,UK,Live Pounds,43090,52683,919,41
2008,Clam Soft,Phippsburg,Sagadahoc,UK,Live Pounds,199521,273835,2445,44
2008,Clam Soft,Roque Bluffs,Washington,UK,Live Pounds,114493,130663,1903,45
2008,Clam Soft,Scarborough,Cumberland,UK,Live Pounds,404970,539466,3122,53
2008,Clam Soft,Sedgwick,Hancock,UK,Live Pounds,65374,81722,713,52
2008,Clam Soft,Sheepscot,Lincoln,UK,Live Pounds,5168,9501,34,4
2008,Clam Soft,Sorrento,Hancock,UK,Live Pounds,11976,15748,123,29
2008,Clam Soft,South Bristol,Lincoln,UK,Live Pounds,54051,81676,312,25
2008,Clam Soft,South Thomaston,Knox,UK,Live Pounds,49432,61257,442,69
2008,Clam Soft,Spruce Head,Knox,UK,Live Pounds,4647,6093,50,23
2008,Clam Soft,St. George,Knox,UK,Live Pounds,477684,657765,4208,128
2008,Clam Soft,Steuben,Washington,UK,Live Pounds,94739,121813,1050,75
2008,Clam Soft,Stonington,Hancock,UK,Live Pounds,147159,178761,1608,76
2008,Clam Soft,Sullivan,Hancock,UK,Live Pounds,73176,93864,685,78
2008,Clam Soft,Surry,Hancock,UK,Live Pounds,13464,15997,72,9
2008,Clam Soft,Swans Island,Hancock,UK,Live Pounds,43577,56343,215,18
2008,Clam Soft,Thomaston,Knox,UK,Live Pounds,83478,127355,441,42
2008,Clam Soft,Trenton,Hancock,UK,Live Pounds,35514,45754,345,48
2008,Clam Soft,Vinalhaven,Knox,UK,Live Pounds,32981,46910,218,29
2008,Clam Soft,Waldoboro,Lincoln,UK,Live Pounds,894923,1118543,10452,240
2008,Clam Soft,West Bath,Sagadahoc,UK,Live Pounds,189659,303884,1283,33
2008,Clam Soft,Westport Island,Lincoln,UK,Live Pounds,4257,5848,106,4
2008,Clam Soft,Whiting,Washington,UK,Live Pounds,44632,64110,430,19
2008,Clam Soft,Wiscasset,Lincoln,UK,Live Pounds,3512,5876,41,13
2008,Clam Soft,Woolwich,Sagadahoc,UK,Live Pounds,51404,80221,425,14
2008,Clam Soft,Yarmouth,Cumberland,UK,Live Pounds,143580,205274,471,23
2009,Clam Soft,Addison,Washington,UK,Live Pounds,379238,532438,4016,228
2009,Clam Soft,Bar Harbor,Hancock,UK,Live Pounds,5817,9913,42,9
2009,Clam Soft,Biddeford,York,UK,Live Pounds,6970,8144,42,6
2009,Clam Soft,Biddeford Pool,York,UK,Live Pounds,33477,40353,228,13
2009,Clam Soft,Blue Hill,Hancock,UK,Live Pounds,5264,8336,52,22
2009,Clam Soft,Boothbay,Lincoln,UK,Live Pounds,193083,235583,2344,58
2009,Clam Soft,Boothbay Harbor,Lincoln,UK,Live Pounds,26685,37097,235,23
2009,Clam Soft,Bremen,Lincoln,UK,Live Pounds,65703,72510,718,52
2009,Clam Soft,Bristol,Lincoln,UK,Live Pounds,60076,62326,671,53
2009,Clam Soft,Brooklin,Hancock,UK,Live Pounds,117003,156629,822,52
2009,Clam Soft,Brooksville,Hancock,UK,Live Pounds,39673,57163,482,44
2009,Clam Soft,Brunswick,Cumberland,UK,Live Pounds,512091,700133,4235,75
2009,Clam Soft,Cape Porpoise,York,UK,Live Pounds,11738,17632,204,11
2009,Clam Soft,Cushing,Knox,UK,Live Pounds,300292,341911,3439,112
2009,Clam Soft,Cutler,Washington,UK,Live Pounds,129408,163691,1860,61
2009,Clam Soft,Damariscotta,Lincoln,UK,Live Pounds,284574,280997,2888,172
2009,Clam Soft,Deer Isle,Hancock,UK,Live Pounds,672963,796022,5805,126
2009,Clam Soft,Edgecomb,Lincoln,UK,Live Pounds,9186,8868,83,14
2009,Clam Soft,Franklin,Hancock,UK,Live Pounds,68745,97782,721,84
2009,Clam Soft,Freeport,Cumberland,UK,Live Pounds,738823,985448,3969,70
2009,Clam Soft,Friendship,Knox,UK,Live Pounds,194605,214730,2181,95
2009,Clam Soft,Georgetown,Sagadahoc,UK,Live Pounds,122079,174930,972,25
2009,Clam Soft,Gouldsboro,Hancock,UK,Live Pounds,82639,101716,865,45
